TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=15,b_m=0, lr=1.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.559465e-02, 5.559465e-02, 0, 8.345408e-04, 2.151960e-04, 1.846837e-02, 3.592316e-02, 1.533782e-04, 0.345745, 4.973862e-04, 3.966894e-01, -0.017891, 1.000000e+00, 1, 0.345745, 4.973862e-04 
1.054595e-01, 4.986483e-02, 0, 6.269262e-04, 2.332748e-05, 1.839576e-02, 3.077333e-02, 4.548860e-05, 0.338648, 3.823357e-04, 4.394124e-01, -0.012028, 1.000000e+00, 1, 0.338648, 3.823357e-04 
1.559889e-01, 5.052937e-02, 0, 5.674411e-04, 2.011996e-05, 1.690368e-02, 3.301860e-02, 1.953677e-05, 0.333363, 2.689914e-04, 4.334745e-01, -0.021061, 1.000000e+00, 1, 0.333363, 2.689914e-04 
2.313011e-01, 7.531220e-02, 0, 6.444218e-04, 1.982836e-05, 1.717311e-02, 5.746609e-02, 8.747807e-06, 0.324233, 2.617475e-04, -2.548650e-01, -0.006545, 5.000000e-01, 1, 0.324233, 2.617475e-04 
3.042639e-01, 7.296283e-02, 0, 6.473377e-04, 1.837039e-05, 1.742446e-02, 5.484933e-02, 2.332748e-05, 0.324233, 2.617475e-04, 8.815184e-01, -0.004527, 1.000000e+00, 1, 0.324233, 2.617475e-04 
3.603099e-01, 5.604603e-02, 0, 6.441302e-04, 1.924518e-05, 1.674155e-02, 3.861807e-02, 2.303589e-05, 0.320243, 2.409801e-04, 9.148044e-01, -0.014850, 2.000000e+00, 1, 0.320243, 2.409801e-04 
4.934941e-01, 1.331842e-01, 0, 5.753141e-04, 9.622588e-06, 1.689872e-02, 1.156912e-01, 9.330994e-06, 0.306658, 5.289432e-04, -1.915827e-01, -0.034771, 1.000000e+00, 1, 0.306658, 5.289432e-04 
5.826512e-01, 8.915706e-02, 0, 5.196197e-04, 1.749561e-05, 1.715299e-02, 7.144742e-02, 1.953677e-05, 0.306658, 5.289432e-04, 5.684302e-01, -0.032834, 1.000000e+00, 1, 0.306658, 5.289432e-04 
6.284594e-01, 4.580818e-02, 0, 6.887440e-04, 2.128633e-05, 1.724980e-02, 2.782765e-02, 2.070314e-05, 0.287994, 4.842646e-04, 5.744202e-01, -0.017573, 1.000000e+00, 1, 0.287994, 4.842646e-04 
7.218518e-01, 9.339246e-02, 0, 6.304253e-04, 1.866199e-05, 1.641847e-02, 7.630537e-02, 1.953677e-05, 0.277900, 5.662454e-04, 5.726269e-01, -0.022125, 1.000000e+00, 1, 0.277900, 5.662454e-04 
8.638558e-01, 1.420040e-01, 0, 6.152624e-04, 1.866199e-05, 1.648553e-02, 1.248612e-01, 2.332748e-05, 0.265231, 5.673954e-04, 2.992016e-01, -0.048900, 1.000000e+00, 1, 0.265231, 5.673954e-04 
9.626250e-01, 9.876915e-02, 0, 6.747475e-04, 2.186952e-05, 1.684798e-02, 8.120327e-02, 2.128633e-05, 0.250600, 1.149627e-03, 6.330661e-01, -0.035484, 1.000000e+00, 1, 0.250600, 1.149627e-03 
9.953622e-01, 3.273721e-02, 0, 5.767721e-04, 1.283012e-05, 1.746062e-02, 1.466745e-02, 1.953677e-05, 0.228136, 5.113486e-04, 7.408461e-01, -0.016265, 1.000000e+00, 1, 0.228136, 5.113486e-04 
1.083856e+00, 8.849427e-02, 0, 5.677327e-04, 1.253852e-05, 1.929620e-02, 6.859651e-02, 2.128633e-05, 0.216086, 5.156560e-04, 3.595152e-01, -0.030248, 1.000000e+00, 1, 0.216086, 5.156560e-04 
1.115712e+00, 3.185514e-02, 0, 6.315917e-04, 2.245270e-05, 1.673251e-02, 1.444409e-02, 2.449386e-05, 0.205211, 6.529895e-04, 9.081582e-01, -0.015340, 2.000000e+00, 1, 0.205211, 6.529895e-04 
1.204571e+00, 8.885935e-02, 0, 6.053482e-04, 2.011996e-05, 3.033040e-02, 5.787957e-02, 2.391067e-05, 0.191280, 3.843193e-04, 1.022882e+00, -0.019745, 4.000000e+00, 1, 0.191280, 3.843193e-04 
1.255663e+00, 5.109215e-02, 0, 6.155540e-04, 2.186952e-05, 1.720694e-02, 3.319035e-02, 5.744393e-05, 0.171084, 2.484102e-04, 1.476073e+00, -0.002319, 4.000000e+00, 0, 0.171084, 2.484102e-04 
1.321839e+00, 6.617541e-02, 0, 5.589849e-04, 1.807880e-05, 3.137634e-02, 3.419897e-02, 2.303589e-05, 0.167660, 2.848706e-04, 8.519071e-01, -0.029720, 8.000000e+00, 1, 0.167660, 2.848706e-04 
1.365162e+00, 4.332322e-02, 0, 6.493789e-04, 1.283012e-05, 2.993412e-02, 1.268024e-02, 4.665497e-05, 0.142341, 1.681139e-03, 1.001540e+00, -0.013107, 8.000000e+00, 0, 0.142341, 1.681139e-03 
1.457558e+00, 9.239609e-02, 0, 6.091390e-04, 2.041155e-05, 1.735390e-02, 7.438989e-02, 2.274430e-05, 0.129214, 3.326211e-04, -1.402585e+00, -0.011962, 1.180851e+00, 0, 0.129214, 3.326211e-04 
1.485703e+00, 2.814549e-02, 0, 6.347992e-04, 2.070314e-05, 1.745246e-02, 1.001711e-02, 2.041155e-05, 0.129214, 3.326211e-04, 6.561845e-01, -0.011562, 1.180851e+00, 1, 0.129214, 3.326211e-04 
1.511654e+00, 2.595066e-02, 0, 6.455881e-04, 2.186952e-05, 1.635636e-02, 8.907600e-03, 1.924518e-05, 0.121627, 7.232965e-04, 6.139301e-01, -0.018719, 1.180851e+00, 1, 0.121627, 7.232965e-04 
1.542328e+00, 3.067418e-02, 0, 5.723982e-04, 1.895358e-05, 1.646979e-02, 1.355560e-02, 5.744393e-05, 0.110134, 2.922276e-04, 1.121584e+00, -0.002089, 1.180851e+00, 0, 0.110134, 2.922276e-04 
1.581922e+00, 3.959345e-02, 0, 6.146792e-04, 1.895358e-05, 1.716378e-02, 2.178758e-02, 8.456213e-06, 0.107791, 2.492130e-04, -3.223534e-01, -0.014366, 5.904254e-01, 1, 0.107791, 2.492130e-04 
1.605770e+00, 2.384798e-02, 0, 7.173202e-04, 1.778721e-05, 1.694246e-02, 6.121715e-03, 4.869612e-05, 0.107791, 2.492130e-04, 9.823377e-01, -0.005109, 1.180851e+00, 1, 0.107791, 2.492130e-04 
1.630340e+00, 2.457026e-02, 0, 5.907686e-04, 1.749561e-05, 1.691942e-02, 7.034111e-03, 8.456213e-06, 0.102773, 2.464798e-04, -2.424735e-01, -0.013313, 5.904254e-01, 1, 0.102773, 2.464798e-04 
1.665687e+00, 3.534697e-02, 0, 5.167038e-04, 1.224693e-05, 1.653802e-02, 1.825930e-02, 2.070314e-05, 0.102773, 2.464798e-04, 5.059264e-01, -0.005369, 5.904254e-01, 1, 0.102773, 2.464798e-04 
1.701790e+00, 3.610366e-02, 0, 5.105803e-04, 1.866199e-05, 1.708709e-02, 1.846837e-02, 1.895358e-05, 0.100057, 6.846651e-04, 7.219377e-01, -0.002279, 5.904254e-01, 1, 0.100057, 6.846651e-04 
1.729612e+00, 2.782152e-02, 0, 4.438054e-04, 9.330994e-06, 1.684332e-02, 1.049737e-02, 2.770139e-05, 0.098412, 4.278768e-04, 7.269837e-01, -0.003027, 5.904254e-01, 1, 0.098412, 4.278768e-04 
1.752212e+00, 2.259996e-02, 0, 4.595515e-04, 1.166374e-05, 1.688385e-02, 5.187741e-03, 5.715234e-05, 0.096211, 1.914567e-04, 9.918335e-01, -0.007438, 1.180851e+00, 1, 0.096211, 1.914567e-04 
