TRM WS=1, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=9,b_m=0, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000000000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
5.192940e-01, 5.192940e-01, 0, 8.082974e-04, 9.459295e-04, 9.151372e-03, 5.080333e-01, 3.551610e-04, 1.267624e-01, 4.678925e-03, 4.685432e-01, -0.004509, 1.000000e+00, 1, 0.126762, 4.678925e-03 
9.478908e-01, 4.285968e-01, 0, 1.880778e-04, 1.017662e-04, 1.258518e-02, 4.155581e-01, 1.635840e-04, 1.246499e-01, 1.535983e-03, 5.776804e-01, -0.003513, 1.000000e+00, 1, 0.124650, 1.535983e-03 
1.193809e+00, 2.459183e-01, 0, 1.341330e-04, 4.957091e-05, 9.375025e-03, 2.361890e-01, 1.705822e-04, 1.226207e-01, 1.280287e-03, 8.089664e-01, -0.005228, 2.000000e+00, 1, 0.122621, 1.280287e-03 
1.406126e+00, 2.123169e-01, 0, 1.600849e-04, 6.123465e-05, 9.586138e-03, 2.024094e-01, 1.000166e-04, 1.183914e-01, 1.859595e-03, 8.564245e-01, -0.017084, 4.000000e+00, 1, 0.118391, 1.859595e-03 
1.508637e+00, 1.025115e-01, 0, 1.545446e-04, 5.277843e-05, 1.043438e-02, 9.179307e-02, 7.668911e-05, 1.037600e-01, 1.983200e-03, 6.009801e-01, -0.049051, 4.000000e+00, 1, 0.103760, 1.983200e-03 
1.689819e+00, 1.811820e-01, 0, 1.189702e-04, 9.622588e-06, 9.209983e-03, 1.717568e-01, 8.660329e-05, 7.428130e-02, 1.017143e-02, -4.388187e-02, -0.149057, 2.000000e+00, 1, 0.074281, 1.017143e-02 
1.870002e+00, 1.801824e-01, 0, 3.399981e-04, 1.312171e-05, 1.327830e-02, 1.665235e-01, 2.740979e-05, 7.428130e-02, 1.017143e-02, 3.883635e-01, -0.065442, 2.000000e+00, 1, 0.074281, 1.017143e-02 
2.056423e+00, 1.864210e-01, 0, 1.396733e-04, 1.078896e-05, 9.328370e-03, 1.769148e-01, 2.740979e-05, 4.886592e-02, 1.150360e-02, 6.868104e-01, -0.028748, 2.000000e+00, 1, 0.048866, 1.150360e-02 
2.163995e+00, 1.075721e-01, 0, 1.525034e-04, 1.020577e-05, 8.883398e-03, 9.848689e-02, 3.907354e-05, 2.912144e-02, 3.198209e-03, 7.639563e-01, -0.021268, 2.000000e+00, 1, 0.029121, 3.198209e-03 
2.330574e+00, 1.665795e-01, 0, 2.685577e-04, 1.049737e-05, 8.834119e-03, 1.574261e-01, 4.023991e-05, 1.287333e-02, 1.826103e-03, 8.773146e-01, -0.008613, 4.000000e+00, 1, 0.012873, 1.826103e-03 
2.569650e+00, 2.390758e-01, 0, 1.586269e-04, 1.078896e-05, 9.158662e-03, 2.296684e-01, 7.931345e-05, 5.317202e-03, 9.774200e-04, 6.096820e-01, -0.004798, 4.000000e+00, 1, 0.005317, 9.774200e-04 
2.780416e+00, 2.107659e-01, 0, 1.303423e-04, 1.224693e-05, 9.454630e-03, 2.011179e-01, 5.073728e-05, 2.392142e-03, 5.918168e-04, 3.118172e-01, -0.001352, 4.000000e+00, 1, 0.002392, 5.918168e-04 
2.891363e+00, 1.109473e-01, 0, 2.041155e-04, 1.341330e-05, 9.800460e-03, 1.009060e-01, 2.332748e-05, 1.970430e-03, 6.399525e-04, 5.623064e-01, -0.000885, 4.000000e+00, 1, 0.001970, 6.399525e-04 
3.035268e+00, 1.439049e-01, 0, 1.283012e-04, 9.914181e-06, 8.616881e-03, 1.350895e-01, 6.035987e-05, 1.472555e-03, 5.814984e-04, -2.896589e-01, 0.001126, 2.000000e+00, 0, 0.001473, 5.814984e-04 
3.184768e+00, 1.495000e-01, 0, 1.180954e-04, 1.020577e-05, 1.074814e-02, 1.385889e-01, 3.469963e-05, 1.472555e-03, 5.814984e-04, 6.894009e-01, -0.000472, 2.000000e+00, 1, 0.001473, 5.814984e-04 
3.332927e+00, 1.481590e-01, 0, 1.414229e-04, 9.914181e-06, 9.536859e-03, 1.384460e-01, 2.478545e-05, 1.147251e-03, 4.702210e-04, 7.444687e-01, -0.000323, 2.000000e+00, 1, 0.001147, 4.702210e-04 
3.486338e+00, 1.534112e-01, 0, 1.271348e-04, 1.049737e-05, 9.953838e-03, 1.432961e-01, 2.361908e-05, 9.068013e-04, 4.015035e-04, 7.538816e-01, -0.000229, 2.000000e+00, 1, 0.000907, 4.015035e-04 
3.649872e+00, 1.635335e-01, 0, 1.245105e-04, 9.330994e-06, 8.941425e-03, 1.544332e-01, 2.507705e-05, 7.339614e-04, 3.495809e-04, 7.570251e-01, -0.000169, 2.000000e+00, 1, 0.000734, 3.495809e-04 
3.821386e+00, 1.715139e-01, 0, 1.224693e-04, 1.108056e-05, 9.674783e-03, 1.616822e-01, 2.332748e-05, 6.061417e-04, 3.080740e-04, 7.584583e-01, -0.000128, 2.000000e+00, 1, 0.000606, 3.080740e-04 
3.990304e+00, 1.689178e-01, 0, 1.504623e-04, 1.078896e-05, 8.790671e-03, 1.599420e-01, 2.391067e-05, 5.089783e-04, 2.740447e-04, 7.593196e-01, -0.000100, 2.000000e+00, 1, 0.000509, 2.740447e-04 
4.168384e+00, 1.780800e-01, 0, 1.256768e-04, 1.049737e-05, 9.385522e-03, 1.685282e-01, 3.003414e-05, 4.333555e-04, 2.456910e-04, 7.599829e-01, -0.000079, 2.000000e+00, 1, 0.000433, 2.456910e-04 
4.344706e+00, 1.763223e-01, 0, 1.504623e-04, 1.224693e-05, 1.040960e-02, 1.657252e-01, 2.478545e-05, 3.733103e-04, 2.217663e-04, 7.605893e-01, -0.000064, 2.000000e+00, 1, 0.000373, 2.217663e-04 
4.526417e+00, 1.817115e-01, 0, 1.312171e-04, 1.020577e-05, 9.855279e-03, 1.716903e-01, 2.449386e-05, 3.248161e-04, 2.013622e-04, 7.611953e-01, -0.000052, 2.000000e+00, 1, 0.000325, 2.013622e-04 
4.715330e+00, 1.889127e-01, 0, 1.259684e-04, 9.914181e-06, 9.104717e-03, 1.796450e-01, 2.711820e-05, 2.850750e-04, 1.837968e-04, 7.618226e-01, -0.000043, 2.000000e+00, 1, 0.000285, 1.837968e-04 
4.908148e+00, 1.928180e-01, 0, 1.352994e-04, 1.312171e-05, 9.935759e-03, 1.827082e-01, 2.566023e-05, 2.520924e-04, 1.685490e-04, 7.624789e-01, -0.000036, 2.000000e+00, 1, 0.000252, 1.685490e-04 
5.097916e+00, 1.897676e-01, 0, 1.877863e-04, 1.195534e-05, 8.968835e-03, 1.805757e-01, 2.332748e-05, 2.244151e-04, 1.552143e-04, 7.631639e-01, -0.000031, 2.000000e+00, 1, 0.000224, 1.552143e-04 
5.278314e+00, 1.803981e-01, 0, 1.172206e-04, 1.020577e-05, 9.454046e-03, 1.707662e-01, 5.044569e-05, 2.009632e-04, 1.434744e-04, 7.638752e-01, -0.000026, 2.000000e+00, 1, 0.000201, 1.434744e-04 
5.467143e+00, 1.888293e-01, 0, 1.530866e-04, 1.020577e-05, 9.201526e-03, 1.794406e-01, 2.391067e-05, 1.809201e-04, 1.330765e-04, 7.646076e-01, -0.000023, 2.000000e+00, 1, 0.000181, 1.330765e-04 
5.653206e+00, 1.860629e-01, 0, 1.192618e-04, 1.020577e-05, 1.037023e-02, 1.755405e-01, 2.274430e-05, 1.636591e-04, 1.238171e-04, 7.653570e-01, -0.000020, 2.000000e+00, 1, 0.000164, 1.238171e-04 
5.850953e+00, 1.977468e-01, 0, 1.218861e-04, 1.049737e-05, 9.957337e-03, 1.876338e-01, 2.332748e-05, 1.486923e-04, 1.155312e-04, 7.661183e-01, -0.000017, 2.000000e+00, 1, 0.000149, 1.155312e-04 
6.046306e+00, 1.953534e-01, 0, 1.192618e-04, 1.020577e-05, 1.147946e-02, 1.837209e-01, 2.361908e-05, 1.356352e-04, 1.080838e-04, 7.668863e-01, -0.000015, 2.000000e+00, 1, 0.000136, 1.080838e-04 
6.233793e+00, 1.874865e-01, 0, 1.408397e-04, 1.253852e-05, 9.524612e-03, 1.777855e-01, 2.303589e-05, 1.241814e-04, 1.013633e-04, 7.676567e-01, -0.000013, 2.000000e+00, 1, 0.000124, 1.013633e-04 
6.422176e+00, 1.883834e-01, 0, 1.218861e-04, 1.049737e-05, 1.015941e-02, 1.780657e-01, 2.595183e-05, 1.140843e-04, 9.527693e-05, 7.684259e-01, -0.000012, 2.000000e+00, 1, 0.000114, 9.527693e-05 
6.609610e+00, 1.874337e-01, 0, 1.265516e-04, 1.020577e-05, 9.715897e-03, 1.775577e-01, 2.332748e-05, 1.051434e-04, 8.974705e-05, 7.691871e-01, -0.000010, 2.000000e+00, 1, 0.000105, 8.974705e-05 
6.798214e+00, 1.886045e-01, 0, 1.218861e-04, 9.622588e-06, 8.795920e-03, 1.796470e-01, 3.003414e-05, 9.719449e-05, 8.470822e-05, 7.699409e-01, -0.000009, 2.000000e+00, 1, 0.000097, 8.470822e-05 
7.005258e+00, 2.070434e-01, 0, 1.522118e-04, 1.137215e-05, 1.066620e-02, 1.961894e-01, 2.420227e-05, 9.010199e-05, 8.010485e-05, 7.706796e-01, -0.000008, 2.000000e+00, 1, 0.000090, 8.010485e-05 
7.223363e+00, 2.181053e-01, 0, 1.192618e-04, 9.914181e-06, 9.851488e-03, 2.080987e-01, 2.595183e-05, 8.375303e-05, 7.588963e-05, 7.714013e-01, -0.000007, 2.000000e+00, 1, 0.000084, 7.588963e-05 
7.422044e+00, 1.986814e-01, 0, 1.306339e-04, 1.049737e-05, 1.029821e-02, 1.882172e-01, 2.478545e-05, 7.805317e-05, 7.202200e-05, 7.721044e-01, -0.000007, 2.000000e+00, 1, 0.000078, 7.202200e-05 
7.611484e+00, 1.894396e-01, 0, 1.551278e-04, 9.622588e-06, 8.785131e-03, 1.804652e-01, 2.449386e-05, 7.292284e-05, 6.846697e-05, 7.727861e-01, -0.000006, 2.000000e+00, 1, 0.000073, 6.846697e-05 
7.797009e+00, 1.855252e-01, 0, 1.189702e-04, 9.330994e-06, 9.724354e-03, 1.756455e-01, 2.711820e-05, 6.829458e-05, 6.519430e-05, 7.734372e-01, -0.000005, 2.000000e+00, 1, 0.000068, 6.519430e-05 
7.986844e+00, 1.898344e-01, 0, 1.227609e-04, 1.049737e-05, 9.014323e-03, 1.806635e-01, 2.332748e-05, 6.411130e-05, 6.217793e-05, 7.740562e-01, -0.000005, 2.000000e+00, 1, 0.000064, 6.217793e-05 
8.172595e+00, 1.857509e-01, 0, 1.157626e-04, 9.330994e-06, 1.028859e-02, 1.753128e-01, 2.449386e-05, 6.032381e-05, 5.939504e-05, 7.746501e-01, -0.000004, 2.000000e+00, 1, 0.000060, 5.939504e-05 
8.379998e+00, 2.074032e-01, 0, 1.277180e-04, 1.049737e-05, 1.061867e-02, 1.966183e-01, 2.799298e-05, 5.689026e-05, 5.682575e-05, 7.752003e-01, -0.000004, 2.000000e+00, 1, 0.000057, 5.682575e-05 
8.568516e+00, 1.885179e-01, 0, 1.487127e-04, 1.253852e-05, 9.722313e-03, 1.786098e-01, 2.449386e-05, 5.377432e-05, 5.445265e-05, 7.757145e-01, -0.000004, 2.000000e+00, 1, 0.000054, 5.445265e-05 
8.755252e+00, 1.867365e-01, 0, 1.207197e-04, 9.914181e-06, 9.377357e-03, 1.772049e-01, 2.361908e-05, 5.094474e-05, 5.226046e-05, 7.761829e-01, -0.000003, 2.000000e+00, 1, 0.000051, 5.226046e-05 
8.948190e+00, 1.929375e-01, 0, 1.160542e-04, 9.039400e-06, 1.053032e-02, 1.822591e-01, 2.303589e-05, 4.837454e-05, 5.023596e-05, 7.766105e-01, -0.000003, 2.000000e+00, 1, 0.000048, 5.023596e-05 
9.137168e+00, 1.889780e-01, 0, 1.224693e-04, 1.049737e-05, 8.692987e-03, 1.801278e-01, 2.420227e-05, 4.603996e-05, 4.836710e-05, 7.769550e-01, -0.000003, 2.000000e+00, 1, 0.000046, 4.836710e-05 
9.356553e+00, 2.193857e-01, 0, 1.245105e-04, 1.020577e-05, 1.028742e-02, 2.089382e-01, 2.536864e-05, 4.392115e-05, 4.664425e-05, 7.772385e-01, -0.000002, 2.000000e+00, 1, 0.000044, 4.664425e-05 
9.576033e+00, 2.194798e-01, 0, 1.236357e-04, 1.078896e-05, 1.466337e-02, 2.046549e-01, 2.711820e-05, 4.200096e-05, 4.505855e-05, 7.775007e-01, -0.000002, 2.000000e+00, 1, 0.000042, 4.505855e-05 
9.766547e+00, 1.905135e-01, 0, 1.417145e-04, 1.195534e-05, 9.725520e-03, 1.806096e-01, 2.478545e-05, 4.026370e-05, 4.360201e-05, 7.776248e-01, -0.000002, 2.000000e+00, 1, 0.000040, 4.360201e-05 
9.956289e+00, 1.897420e-01, 0, 1.332583e-04, 1.020577e-05, 1.024310e-02, 1.793321e-01, 2.332748e-05, 3.869666e-05, 4.226839e-05, 7.776862e-01, -0.000002, 2.000000e+00, 1, 0.000039, 4.226839e-05 
1.014694e+01, 1.906491e-01, 0, 1.180954e-04, 9.330994e-06, 8.772301e-03, 1.817255e-01, 2.391067e-05, 3.728954e-05, 4.105253e-05, 7.775858e-01, -0.000002, 2.000000e+00, 1, 0.000037, 4.105253e-05 
1.033954e+01, 1.926025e-01, 0, 1.189702e-04, 1.049737e-05, 1.000341e-02, 1.824396e-01, 3.003414e-05, 3.603354e-05, 3.995026e-05, 7.773155e-01, -0.000001, 2.000000e+00, 1, 0.000036, 3.995026e-05 
1.055734e+01, 2.177962e-01, 0, 1.510455e-04, 1.108056e-05, 9.941299e-03, 2.076668e-01, 2.595183e-05, 3.492266e-05, 3.895935e-05, 7.768576e-01, -0.000001, 2.000000e+00, 1, 0.000035, 3.895935e-05 
1.076289e+01, 2.055574e-01, 0, 1.285928e-04, 1.049737e-05, 9.806875e-03, 1.955878e-01, 2.361908e-05, 3.395233e-05, 3.807814e-05, 7.760397e-01, -0.000001, 2.000000e+00, 1, 0.000034, 3.807814e-05 
1.094996e+01, 1.870649e-01, 0, 1.213029e-04, 9.914181e-06, 9.319330e-03, 1.775846e-01, 2.974254e-05, 3.312206e-05, 3.730757e-05, 7.745496e-01, -0.000001, 2.000000e+00, 1, 0.000033, 3.730757e-05 
1.113934e+01, 1.893792e-01, 0, 1.274264e-04, 9.914181e-06, 8.920430e-03, 1.802975e-01, 2.391067e-05, 3.243381e-05, 3.665164e-05, 7.721802e-01, -0.000001, 2.000000e+00, 1, 0.000032, 3.665164e-05 
1.134362e+01, 2.042870e-01, 0, 1.213029e-04, 1.049737e-05, 1.290593e-02, 1.912221e-01, 2.711820e-05, 3.190128e-05, 3.612017e-05, 7.651714e-01, -0.000000, 2.000000e+00, 1, 0.000032, 3.612017e-05 
1.155803e+01, 2.144082e-01, 0, 1.405481e-04, 1.253852e-05, 1.082774e-02, 2.033976e-01, 2.974254e-05, 3.155776e-05, 3.574239e-05, 1.518109e+00, -0.000009, 4.000000e+00, 1, 0.000032, 3.574239e-05 
1.171383e+01, 1.557946e-01, 0, 1.361742e-04, 1.166374e-05, 1.019469e-02, 1.454442e-01, 7.873026e-06, 1.798959e-05, 2.645156e-05, -1.959554e+00, 0.000007, 2.000000e+00, 1, 0.000018, 2.645156e-05 
1.186997e+01, 1.561387e-01, 0, 1.236357e-04, 1.020577e-05, 8.817498e-03, 1.471600e-01, 2.740979e-05, 1.798959e-05, 2.645156e-05, 1.516406e+00, -0.000006, 4.000000e+00, 1, 0.000018, 2.645156e-05 
1.211874e+01, 2.487687e-01, 0, 1.411313e-04, 9.914181e-06, 1.047696e-02, 2.381305e-01, 1.020577e-05, 8.737352e-06, 1.517597e-05, -1.498738e+00, 0.000005, 2.000000e+00, 1, 0.000009, 1.517597e-05 
1.234674e+01, 2.280063e-01, 0, 1.443388e-04, 1.195534e-05, 1.084261e-02, 2.169791e-01, 2.828458e-05, 8.737352e-06, 1.517597e-05, 1.559302e+00, -0.000003, 4.000000e+00, 1, 0.000009, 1.517597e-05 
1.250860e+01, 1.618610e-01, 0, 1.256768e-04, 9.914181e-06, 8.935593e-03, 1.527737e-01, 1.603765e-05, 3.879972e-06, 7.117044e-06, -1.467901e+00, 0.000002, 2.000000e+00, 1, 0.000004, 7.117044e-06 
1.267124e+01, 1.626381e-01, 0, 1.711654e-04, 1.166374e-05, 1.080996e-02, 1.516164e-01, 2.886776e-05, 3.879972e-06, 7.117044e-06, 1.654586e+00, -0.000001, 4.000000e+00, 1, 0.000004, 7.117044e-06 
1.289866e+01, 2.274202e-01, 0, 1.215945e-04, 9.914181e-06, 1.065308e-02, 2.166269e-01, 8.747807e-06, 1.723404e-06, 2.818551e-06, -7.922686e-01, 0.000001, 2.000000e+00, 1, 0.000002, 2.818551e-06 
