TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=30, lr=0.010000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
3.251760e-02, 3.251760e-02, 2.449383e-05, 3.414557e-04, 0, 3.200673e-02, 1.437555e-04, 1.166373e-06, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.739862, 1.038127e-03, 0.284153, 0.000000 
6.640627e-02, 3.388867e-02, 3.207525e-05, 3.096720e-04, 0, 3.352476e-02, 2.128631e-05, 8.747797e-07, 0, 7.302287e-01, 1.025309e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.741386, 1.094100e-03, 0.000000, 0.000000 
9.912303e-02, 3.271676e-02, 2.857614e-05, 2.601012e-04, 0, 3.240534e-02, 2.186949e-05, 8.747797e-07, 0, 7.301980e-01, 1.024381e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.741775, 1.044256e-03, 0.000000, 0.000000 
1.320748e-01, 3.295178e-02, 2.740976e-05, 2.697237e-04, 0, 3.262957e-02, 2.391064e-05, 1.166373e-06, 0, 7.301675e-01, 1.023460e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.730661, 1.031638e-03, 0.000000, 0.000000 
1.661105e-01, 3.403564e-02, 3.003410e-05, 2.679742e-04, 0, 3.371401e-02, 2.245268e-05, 1.166373e-06, 0, 7.301370e-01, 1.022549e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.731611, 1.022550e-03, 0.000000, 0.000000 
1.984662e-01, 3.235577e-02, 3.003410e-05, 2.592264e-04, 0, 3.204318e-02, 2.186949e-05, 1.457966e-06, 0, 7.301065e-01, 1.021646e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.737094, 1.050209e-03, 0.000000, 0.000000 
2.328768e-01, 3.441062e-02, 2.770136e-05, 2.612675e-04, 0, 3.409774e-02, 2.274427e-05, 1.166373e-06, 0, 7.300762e-01, 1.020752e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.728400, 1.029985e-03, 0.000000, 0.000000 
2.706274e-01, 3.775053e-02, 3.032570e-05, 2.603927e-04, 0, 3.744115e-02, 1.778719e-05, 8.747797e-07, 0, 7.300458e-01, 1.019868e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.731036, 1.038942e-03, 0.000000, 0.000000 
3.023384e-01, 3.171105e-02, 3.965668e-05, 3.190030e-04, 0, 3.133373e-02, 1.778719e-05, 8.747797e-07, 0, 7.300156e-01, 1.018993e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.745822, 1.076440e-03, 0.000000, 0.000000 
