TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.000100, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
6.643662e-02, 6.643662e-02, 5.248680e-06, 1.393816e-04, 0, 6.612228e-02, 1.262599e-04, 4.344740e-05, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.711868, 1.503611e-03, 0.284153, 0.000000 
1.416059e-01, 7.516926e-02, 4.665493e-06, 2.411477e-04, 0, 7.488962e-02, 3.236686e-05, 1.457967e-06, 7.302373e-01, 1.026209e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.725550, 1.514070e-03, 0.000000, 0.000000 
2.101618e-01, 6.855592e-02, 3.790713e-06, 2.149043e-04, 0, 6.830544e-02, 3.061730e-05, 1.166373e-06, 7.302087e-01, 1.026159e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.717864, 1.510397e-03, 0.000000, 0.000000 
2.830301e-01, 7.286829e-02, 3.790713e-06, 2.079060e-04, 0, 7.262131e-02, 3.382482e-05, 1.457967e-06, 7.301864e-01, 1.026121e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.698863, 1.543637e-03, 0.000000, 0.000000 
3.554140e-01, 7.238396e-02, 4.373900e-06, 2.210277e-04, 0, 7.212444e-02, 3.295004e-05, 1.166373e-06, 7.301628e-01, 1.026084e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.838033, 1.735266e-03, 0.000000, 0.000000 
4.275851e-01, 7.217109e-02, 4.665493e-06, 2.093640e-04, 0, 7.192528e-02, 3.061730e-05, 1.166373e-06, 7.301402e-01, 1.026047e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.721466, 1.493230e-03, 0.000000, 0.000000 
5.164849e-01, 8.889980e-02, 3.499120e-06, 1.516285e-04, 0, 8.871289e-02, 3.032570e-05, 1.457967e-06, 7.301116e-01, 1.026000e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.720114, 1.520407e-03, 0.000000, 0.000000 
5.937636e-01, 7.727864e-02, 3.499120e-06, 1.527949e-04, 0, 7.708940e-02, 3.149208e-05, 1.457967e-06, 7.301042e-01, 1.026003e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.730904, 1.521256e-03, 0.000000, 0.000000 
6.708789e-01, 7.711535e-02, 3.499120e-06, 1.501706e-04, 0, 7.693135e-02, 2.915933e-05, 1.166373e-06, 7.300754e-01, 1.025955e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.709677, 1.537288e-03, 0.000000, 0.000000 
7.423948e-01, 7.151588e-02, 6.123459e-06, 2.370654e-04, 0, 7.124208e-02, 2.915933e-05, 1.457967e-06, 7.300536e-01, 1.025918e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.704256, 1.540771e-03, 0.000000, 0.000000 
8.097951e-01, 6.740033e-02, 4.082306e-06, 1.979919e-04, 0, 6.716735e-02, 3.003411e-05, 8.747799e-07, 7.300313e-01, 1.025880e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.765332, 1.586410e-03, 0.284153, 0.000000 
8.792760e-01, 6.948085e-02, 4.665493e-06, 2.093640e-04, 0, 6.923329e-02, 3.236686e-05, 1.166373e-06, 7.300068e-01, 1.025835e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.714355, 1.514273e-03, 0.000000, 0.000000 
9.517958e-01, 7.251984e-02, 4.957086e-06, 2.402729e-04, 0, 7.224487e-02, 2.857614e-05, 1.166373e-06, 7.299845e-01, 1.025797e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.704214, 1.543455e-03, 0.000000, 0.000000 
1.045275e+00, 9.347898e-02, 3.207526e-06, 1.245103e-04, 0, 9.331861e-02, 3.149208e-05, 1.166373e-06, 7.299623e-01, 1.025759e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.728304, 1.501684e-03, 0.000000, 0.000000 
1.131871e+00, 8.659651e-02, 3.499120e-06, 1.230524e-04, 0, 8.643875e-02, 3.003411e-05, 1.166373e-06, 7.299335e-01, 1.025711e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.701925, 1.585714e-03, 0.000000, 0.000000 
1.225088e+00, 9.321684e-02, 4.957086e-06, 1.358825e-04, 0, 9.304422e-02, 3.061730e-05, 1.166373e-06, 7.299101e-01, 1.025674e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.726925, 1.539242e-03, 0.000000, 0.000000 
1.300544e+00, 7.545618e-02, 4.082306e-06, 2.044069e-04, 0, 7.521766e-02, 2.886774e-05, 1.166373e-06, 7.298971e-01, 1.025681e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.703918, 1.536941e-03, 0.000000, 0.000000 
1.372427e+00, 7.188300e-02, 5.540273e-06, 2.055733e-04, 0, 7.164068e-02, 3.003411e-05, 1.166373e-06, 7.298748e-01, 1.025643e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.703812, 1.547239e-03, 0.000000, 0.000000 
1.441124e+00, 6.869676e-02, 3.207526e-06, 1.778719e-04, 0, 6.848565e-02, 2.857614e-05, 1.457967e-06, 7.298527e-01, 1.025607e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.714425, 1.499637e-03, 0.000000, 0.000000 
1.517692e+00, 7.656745e-02, 4.373900e-06, 2.166538e-04, 0, 7.631609e-02, 2.886774e-05, 1.457967e-06, 7.298305e-01, 1.025570e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.698474, 1.534503e-03, 0.000000, 0.000000 
1.593312e+00, 7.562093e-02, 4.373900e-06, 2.443552e-04, 0, 7.533984e-02, 3.090889e-05, 1.457967e-06, 7.298069e-01, 1.025532e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.730680, 1.512483e-03, 0.284153, 0.000000 
1.668199e+00, 7.488641e-02, 6.415053e-06, 2.496039e-04, 0, 7.460007e-02, 2.915933e-05, 1.166373e-06, 7.297781e-01, 1.025484e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.770059, 1.580107e-03, 0.000000, 0.000000 
1.746530e+00, 7.833158e-02, 6.415053e-06, 2.466879e-04, 0, 7.804757e-02, 2.974252e-05, 1.166373e-06, 7.297536e-01, 1.025441e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.732036, 1.549494e-03, 0.000000, 0.000000 
1.820808e+00, 7.427727e-02, 3.207526e-06, 1.504621e-04, 0, 7.409123e-02, 3.090889e-05, 1.457967e-06, 7.297247e-01, 1.025393e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.769597, 1.591848e-03, 0.000000, 0.000000 
