TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
8.068649e-02, 8.068649e-02, 5.540273e-06, 1.522117e-04, 0, 8.044243e-02, 3.353323e-05, 5.277839e-05, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.701605, 1.545406e-03, 0.196721, 0.000000 
1.565355e-01, 7.584896e-02, 3.790713e-06, 2.084892e-04, 0, 7.560548e-02, 3.032570e-05, 8.747799e-07, 6.158840e-01, 9.619026e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.648012, 1.696228e-03, 0.000000, 0.000000 
2.239731e-01, 6.743766e-02, 3.790713e-06, 1.035156e-04, 0, 6.730382e-02, 2.536862e-05, 1.166373e-06, 5.779587e-01, 9.510973e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.637205, 1.621050e-03, 0.000000, 0.000000 
2.921777e-01, 6.820455e-02, 3.790713e-06, 2.000330e-04, 0, 6.796603e-02, 3.324164e-05, 1.457967e-06, 5.923522e-01, 9.722318e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.578836, 1.694263e-03, 0.000000, 0.000000 
3.674356e-01, 7.525790e-02, 4.957086e-06, 2.116967e-04, 0, 7.501092e-02, 2.915933e-05, 1.166373e-06, 5.825240e-01, 9.641312e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.640493, 1.663798e-03, 0.000000, 0.000000 
4.541414e-01, 8.670585e-02, 3.790713e-06, 1.939095e-04, 0, 8.647637e-02, 3.032570e-05, 1.457967e-06, 5.781025e-01, 9.108109e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.131102, 7.717693e-04, 0.000000, 0.000000 
5.268018e-01, 7.266039e-02, 4.957086e-06, 2.466879e-04, 0, 7.237550e-02, 3.207526e-05, 1.166373e-06, 6.100534e-01, 7.807470e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.759699, 1.257294e-03, 0.000000, 0.000000 
6.010082e-01, 7.420641e-02, 3.790713e-06, 1.280095e-04, 0, 7.404487e-02, 2.857614e-05, 1.166373e-06, 4.489238e-01, 5.126555e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.554786, 1.154014e-03, 0.000000, 0.000000 
6.779958e-01, 7.698763e-02, 4.082306e-06, 2.280260e-04, 0, 7.672316e-02, 3.120048e-05, 1.166373e-06, 6.031921e-01, 1.121319e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.574303, 1.773034e-03, 0.000000, 0.000000 
7.450154e-01, 6.701951e-02, 4.665493e-06, 1.740812e-04, 0, 6.681452e-02, 2.536862e-05, 8.747799e-07, 6.139714e-01, 9.658953e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.791583, 1.462485e-03, 0.000000, 0.000000 
8.130467e-01, 6.803134e-02, 4.957086e-06, 2.111136e-04, 0, 6.778174e-02, 3.265845e-05, 8.747799e-07, 4.075042e-01, 3.202031e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.385526, 1.193361e-03, 0.306011, 0.000000 
9.033698e-01, 9.032307e-02, 4.082306e-06, 2.245268e-04, 0, 9.006180e-02, 3.178367e-05, 8.747799e-07, 5.309313e-01, 6.359713e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.068933, 4.241314e-04, 0.000000, 0.000000 
9.752682e-01, 7.189845e-02, 4.373900e-06, 2.198614e-04, 0, 7.164039e-02, 3.295004e-05, 8.747799e-07, 5.746395e-01, 4.813047e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.754634, 1.286961e-03, 0.000000, 0.000000 
1.044252e+00, 6.898339e-02, 5.248680e-06, 2.189866e-04, 0, 6.872883e-02, 2.915933e-05, 1.166373e-06, 5.217867e-01, 1.056389e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.214709, 1.236218e-03, 0.000000, 0.000000 
1.117409e+00, 7.315697e-02, 4.957086e-06, 2.230689e-04, 0, 7.289804e-02, 2.974252e-05, 1.166373e-06, 5.079535e-01, 7.023576e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.564889, 1.776099e-03, 0.000000, 0.000000 
1.195058e+00, 7.764896e-02, 4.373900e-06, 1.638754e-04, 0, 7.744922e-02, 3.032570e-05, 1.166373e-06, 4.559915e-01, 8.653472e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.368033, 1.593027e-03, 0.000000, 0.000000 
1.292626e+00, 9.756829e-02, 4.665493e-06, 2.128631e-04, 0, 9.731897e-02, 3.061730e-05, 1.166373e-06, 5.434082e-01, 6.754917e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.056747, 5.102010e-04, 0.000000, 0.000000 
1.367614e+00, 7.498818e-02, 3.790713e-06, 2.081976e-04, 0, 7.474528e-02, 2.974252e-05, 1.166373e-06, 5.744926e-01, 4.692257e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.642202, 1.533118e-03, 0.000000, 0.000000 
