TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=100.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
2.487057e-02, 2.487057e-02, 7.581424e-06, 1.548360e-04, 0, 2.464954e-02, 4.665492e-05, 1.195532e-05, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.702242, 1.585488e-03, 0.254098, 0.000000 
5.168577e-02, 2.681520e-02, 5.248678e-06, 2.154874e-04, 0, 2.650757e-02, 8.572841e-05, 1.166373e-06, 0, 6.277606e-01, 4.635959e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.641047, 7.652359e-04, 0.000000, 0.000000 
8.106321e-02, 2.937743e-02, 5.248678e-06, 2.038237e-04, 0, 2.914795e-02, 1.924515e-05, 1.166373e-06, 0, 5.003884e-01, 2.720937e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.494495, 6.150545e-04, 0.000000, 0.000000 
1.059994e-01, 2.493618e-02, 6.415051e-06, 2.638919e-04, 0, 2.464400e-02, 2.070312e-05, 1.166373e-06, 0, 4.297002e-01, 1.209487e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.426279, 4.763622e-04, 0.000000, 0.000000 
1.167449e-01, 1.074550e-02, 3.499119e-06, 1.988666e-04, 0, 1.052098e-02, 2.128631e-05, 8.747797e-07, 0, 4.124971e-01, 5.995767e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.411333, 3.449084e-04, 0.000000, 0.000000 
1.478935e-01, 3.114857e-02, 5.540271e-06, 1.962422e-04, 0, 3.092375e-02, 2.157790e-05, 1.457966e-06, 0, 7.641433e-01, 5.968951e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.043118, 9.241041e-05, 0.000000, 0.000000 
1.592428e-01, 1.134939e-02, 7.289831e-06, 1.682493e-04, 0, 1.115169e-02, 2.099471e-05, 1.166373e-06, 0, 7.649588e-01, 5.963981e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.907461, 2.838417e-04, 0.000000, 0.000000 
1.724208e-01, 1.317797e-02, 6.415051e-06, 1.930347e-04, 0, 1.295986e-02, 1.778719e-05, 8.747797e-07, 0, 9.923172e-01, 2.651028e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 1.410327, 2.481614e-04, 0.000000, 0.000000 
1.973894e-01, 2.496854e-02, 6.123458e-06, 3.225021e-04, 0, 2.461834e-02, 2.041153e-05, 1.166373e-06, 0, 1.312027e+00, 1.489303e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 1.013472, 3.876725e-05, 0.000000, 0.000000 
2.269152e-01, 2.952585e-02, 3.790712e-06, 1.895356e-04, 0, 2.930949e-02, 2.216108e-05, 8.747797e-07, 0, 1.312199e+00, 1.520586e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 1.012627, 3.646638e-05, 0.000000, 0.000000 
2.383081e-01, 1.139284e-02, 5.248678e-06, 2.411476e-04, 0, 1.112370e-02, 2.157790e-05, 1.166373e-06, 0, 1.312312e+00, 1.538812e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 1.931541, 1.887859e-04, 0.306011, 0.000000 
