TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.000100, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.526749e-01, 2.526749e-01, 1.335499e-04, 1.819544e-04, 0, 2.522223e-01, 1.038073e-04, 3.324167e-05, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342208, 2.558031e-03 
2.904569e-01, 3.778207e-02, 3.644920e-05, 1.909938e-04, 0, 3.744674e-02, 7.260680e-05, 3.528282e-05, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347357, 2.577963e-03 
3.467881e-01, 5.633121e-02, 1.253852e-05, 1.294675e-04, 0, 5.614547e-02, 3.499123e-05, 8.747807e-06, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347390, 2.580507e-03 
3.644185e-01, 1.763033e-02, 1.137215e-05, 1.355910e-04, 0, 1.741484e-02, 5.423640e-05, 1.428808e-05, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.341979, 2.557184e-03 
4.031068e-01, 3.868834e-02, 1.545446e-05, 1.245105e-04, 0, 3.849531e-02, 5.219525e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347219, 2.574466e-03 
4.195851e-01, 1.647824e-02, 1.807880e-05, 1.186786e-04, 0, 1.625488e-02, 6.852449e-05, 1.807880e-05, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342105, 2.559044e-03 
4.355959e-01, 1.601082e-02, 2.653501e-05, 1.323835e-04, 0, 1.580466e-02, 4.636338e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342200, 2.556724e-03 
4.489716e-01, 1.337569e-02, 2.332748e-06, 1.667915e-04, 0, 1.316428e-02, 4.140629e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347798, 2.609793e-03 
4.624566e-01, 1.348504e-02, 1.457968e-06, 1.466716e-04, 0, 1.329258e-02, 4.344744e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342327, 2.552050e-03 
4.758996e-01, 1.344305e-02, 2.041155e-06, 1.210113e-04, 0, 1.329667e-02, 2.245270e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.341944, 2.557461e-03 
4.895553e-01, 1.365562e-02, 2.857617e-05, 1.545446e-04, 0, 1.340806e-02, 2.099474e-05, 4.344744e-05, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347297, 2.578281e-03 
5.023110e-01, 1.275576e-02, 2.770139e-05, 1.904106e-04, 0, 1.251578e-02, 2.099474e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342359, 2.551509e-03 
5.153700e-01, 1.305902e-02, 2.041155e-06, 1.490043e-04, 0, 1.283070e-02, 7.639751e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.341976, 2.556353e-03 
5.275546e-01, 1.218453e-02, 2.915936e-05, 1.621260e-04, 0, 1.193842e-02, 5.423640e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342038, 2.553908e-03 
5.423701e-01, 1.481558e-02, 2.449386e-05, 1.183870e-04, 0, 1.464849e-02, 2.332748e-05, 8.747807e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.341766, 2.554658e-03 
