TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.000010, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.803984e-02, 3.803984e-02, 4.373903e-06, 1.953677e-04, 0, 3.768672e-02, 1.110971e-04, 4.228107e-05, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.347249, 2.586472e-03 
5.193631e-02, 1.389647e-02, 7.027405e-05, 2.023659e-04, 0, 1.347862e-02, 8.835285e-05, 5.686074e-05, 0.345745, 4.973830e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.347815, 2.596111e-03 
6.430746e-02, 1.237115e-02, 3.120051e-05, 1.659167e-04, 0, 1.212359e-02, 3.849035e-05, 1.195534e-05, 0.345745, 4.973795e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.342336, 2.557613e-03 
7.684394e-02, 1.253648e-02, 1.953677e-05, 1.740814e-04, 0, 1.227346e-02, 5.307003e-05, 1.632924e-05, 0.345745, 4.973778e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.342108, 2.559233e-03 
8.988255e-02, 1.303861e-02, 1.837039e-05, 1.137215e-04, 0, 1.284557e-02, 6.006827e-05, 8.747807e-07, 0.345744, 4.973760e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.342610, 2.551241e-03 
1.050507e-01, 1.516811e-02, 5.190365e-05, 2.469797e-04, 0, 1.478321e-02, 6.677493e-05, 1.924518e-05, 0.345744, 4.973742e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.347858, 2.599910e-03 
1.179271e-01, 1.287648e-02, 2.711820e-05, 1.516287e-04, 0, 1.265020e-02, 4.636338e-05, 1.166374e-06, 0.345744, 4.973708e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.347345, 2.577229e-03 
1.318577e-01, 1.393059e-02, 3.790716e-06, 1.542530e-04, 0, 1.371831e-02, 5.336162e-05, 8.747807e-07, 0.345744, 4.973675e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.342449, 2.554627e-03 
1.447917e-01, 1.293392e-02, 4.082310e-05, 2.761391e-04, 0, 1.257701e-02, 3.936513e-05, 5.831871e-07, 0.345744, 4.973657e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.347355, 2.579809e-03 
1.566869e-01, 1.189527e-02, 5.394481e-05, 1.586269e-04, 0, 1.166608e-02, 1.603765e-05, 5.831871e-07, 0.345744, 4.973625e-04, 0.000000e+00, 0.000000, 1.000000e-05, 0, 0.347249, 2.574927e-03 
