TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=1.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.270765e-02, 1.270765e-02, 5.248684e-06, 1.516287e-04, 0, 1.236094e-02, 1.355910e-04, 5.423640e-05, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.342358, 2.555418e-03 
2.478166e-02, 1.207401e-02, 4.373903e-06, 2.046987e-04, 0, 1.184541e-02, 1.866199e-05, 8.747807e-07, 0.463400, 1.529670e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.064310, 1.088794e-03 
3.603747e-02, 1.125580e-02, 2.332748e-06, 1.417145e-04, 0, 1.109339e-02, 1.749561e-05, 8.747807e-07, 0.543289, 1.244438e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.019803, 3.968152e-04 
6.179451e-02, 2.575704e-02, 1.749561e-06, 1.425893e-04, 0, 2.559433e-02, 1.749561e-05, 8.747807e-07, 0.582653, 9.310171e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.008462, 1.800366e-04 
7.352473e-02, 1.173023e-02, 2.041155e-06, 1.385069e-04, 0, 1.157451e-02, 1.428808e-05, 8.747807e-07, 0.611595, 6.459211e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.917681, 1.151971e-03 
8.498640e-02, 1.146167e-02, 3.790716e-06, 2.114053e-04, 0, 1.122898e-02, 1.691243e-05, 5.831871e-07, 0.457405, 1.519040e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.763509, 3.053695e-03 
9.644136e-02, 1.145496e-02, 2.915936e-06, 2.116969e-04, 0, 1.122256e-02, 1.691243e-05, 8.747807e-07, 0.383824, 7.481365e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.378287, 2.295370e-03 
1.079718e-01, 1.153048e-02, 2.332748e-06, 2.096558e-04, 0, 1.130013e-02, 1.720402e-05, 1.166374e-06, 0.469804, 1.609234e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.641981, 3.432779e-03 
1.198490e-01, 1.187719e-02, 2.624342e-06, 2.102390e-04, 0, 1.164625e-02, 1.720402e-05, 8.747807e-07, 0.409213, 1.459058e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.676241, 3.589418e-03 
1.320397e-01, 1.219065e-02, 2.624342e-06, 1.551278e-04, 0, 1.201249e-02, 1.953677e-05, 8.747807e-07, 0.354851, 1.003330e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.455151, 3.797653e-03 
1.438492e-01, 1.180954e-02, 3.499123e-06, 1.825376e-04, 0, 1.160542e-02, 1.749561e-05, 5.831871e-07, 0.465922, 1.453534e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.708630, 3.640717e-03 
1.549881e-01, 1.113887e-02, 2.041155e-06, 1.393817e-04, 0, 1.097966e-02, 1.691243e-05, 8.747807e-07, 0.394432, 1.567262e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.154283, 2.472673e-03 
1.665938e-01, 1.160572e-02, 2.624342e-06, 1.641672e-04, 0, 1.142114e-02, 1.691243e-05, 8.747807e-07, 0.492653, 1.623759e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.701526, 3.427045e-03 
1.780406e-01, 1.144680e-02, 3.207529e-06, 1.338414e-04, 0, 1.129225e-02, 1.662083e-05, 8.747807e-07, 0.399271, 1.519713e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.646597, 3.994687e-03 
1.975686e-01, 1.952802e-02, 2.624342e-06, 2.029491e-04, 0, 1.930437e-02, 1.720402e-05, 8.747807e-07, 0.393678, 1.622173e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.122247, 2.175301e-03 
2.091111e-01, 1.154244e-02, 2.624342e-06, 1.839955e-04, 0, 1.133803e-02, 1.691243e-05, 8.747807e-07, 0.498069, 1.619496e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.750989, 3.179181e-03 
2.204106e-01, 1.129954e-02, 2.332748e-06, 2.093642e-04, 0, 1.106977e-02, 1.720402e-05, 8.747807e-07, 0.375535, 1.275628e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.383979, 4.367311e-03 
2.586750e-01, 3.826437e-02, 3.207529e-06, 1.921602e-04, 0, 3.805004e-02, 1.807880e-05, 8.747807e-07, 0.519146, 1.325289e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.035038, 8.776460e-04 
2.703597e-01, 1.168474e-02, 2.624342e-06, 2.093642e-04, 0, 1.145409e-02, 1.749561e-05, 1.166374e-06, 0.567483, 1.043030e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.822548, 2.425940e-03 
2.819232e-01, 1.156343e-02, 3.790716e-06, 2.163624e-04, 0, 1.132520e-02, 1.720402e-05, 8.747807e-07, 0.555502, 2.387496e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 1.017623, 4.373655e-03 
2.934277e-01, 1.150453e-02, 2.624342e-06, 1.851619e-04, 0, 1.129896e-02, 1.691243e-05, 8.747807e-07, 0.346602, 6.083075e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.415839, 3.061216e-03 
3.054480e-01, 1.202036e-02, 2.915936e-06, 2.099474e-04, 0, 1.178942e-02, 1.749561e-05, 5.831871e-07, 0.472997, 1.612338e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.060307, 1.183785e-03 
