TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.000100, lambda=0.000000, n=6, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
4.740145e-03, 4.740145e-03, 4.607178e-05, 1.522118e-04, 0, 4.411519e-03, 1.207197e-04, 9.622588e-06, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.118573, 2.221801e-02 
8.674908e-03, 3.934764e-03, 1.457968e-06, 4.490541e-05, 0, 3.876736e-03, 1.078896e-05, 8.747807e-07, 0.125158, 6.315206e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.125733, 2.472298e-02 
1.270706e-02, 4.032156e-03, 1.457968e-06, 4.373903e-05, 0, 3.975587e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.307531e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.116563, 2.131320e-02 
1.707193e-02, 4.364864e-03, 2.041155e-06, 4.519700e-05, 0, 4.306254e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.315202e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.139781, 2.166898e-02 
2.112304e-02, 4.051109e-03, 1.457968e-06, 4.461381e-05, 0, 3.993665e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.307624e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.118573, 2.221798e-02 
2.501435e-02, 3.891316e-03, 1.457968e-06, 4.432222e-05, 0, 3.834455e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.315318e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.125733, 2.472299e-02 
2.886835e-02, 3.853992e-03, 1.166374e-06, 4.373903e-05, 0, 3.797715e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.307644e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.116563, 2.131319e-02 
3.301656e-02, 4.148210e-03, 1.457968e-06, 4.490541e-05, 0, 4.089017e-03, 1.224693e-05, 5.831871e-07, 0.125158, 6.315314e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.139781, 2.166897e-02 
3.694753e-02, 3.930973e-03, 1.457968e-06, 4.344744e-05, 0, 3.874987e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.307736e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.118573, 2.221796e-02 
4.080327e-02, 3.855742e-03, 1.457968e-06, 4.432222e-05, 0, 3.798881e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.315430e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.125734, 2.472301e-02 
4.470829e-02, 3.905021e-03, 1.166374e-06, 4.403063e-05, 0, 3.848452e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.307756e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.116563, 2.131318e-02 
4.863810e-02, 3.929806e-03, 1.457968e-06, 4.461381e-05, 0, 3.872654e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.315426e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.139781, 2.166896e-02 
5.247401e-02, 3.835913e-03, 1.457968e-06, 4.373903e-05, 0, 3.779636e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.307849e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.118573, 2.221793e-02 
5.633004e-02, 3.856033e-03, 1.457968e-06, 4.373903e-05, 0, 3.799464e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.315543e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.125734, 2.472302e-02 
6.014730e-02, 3.817251e-03, 1.457968e-06, 4.344744e-05, 0, 3.760974e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.307868e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.116563, 2.131317e-02 
6.414125e-02, 3.993957e-03, 1.457968e-06, 4.315585e-05, 0, 3.937971e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.315538e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.139781, 2.166895e-02 
6.805590e-02, 3.914644e-03, 1.457968e-06, 6.035987e-05, 0, 3.841745e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.307961e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.118573, 2.221790e-02 
7.220469e-02, 4.148793e-03, 1.749561e-06, 6.006827e-05, 0, 4.075603e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.315655e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.125734, 2.472303e-02 
7.605810e-02, 3.853409e-03, 1.457968e-06, 4.403063e-05, 0, 3.796840e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.307980e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.116563, 2.131316e-02 
8.007597e-02, 4.017868e-03, 1.457968e-06, 4.373903e-05, 0, 3.961299e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.315651e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.139781, 2.166894e-02 
8.399178e-02, 3.915810e-03, 1.457968e-06, 4.432222e-05, 0, 3.858949e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.308073e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.118573, 2.221787e-02 
8.799331e-02, 4.001538e-03, 1.166374e-06, 4.490541e-05, 0, 3.943803e-03, 1.078896e-05, 8.747807e-07, 0.125158, 6.315767e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.125734, 2.472305e-02 
9.202693e-02, 4.033614e-03, 1.457968e-06, 4.403063e-05, 0, 3.977045e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.308093e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.116563, 2.131315e-02 
9.604130e-02, 4.014369e-03, 1.457968e-06, 4.461381e-05, 0, 3.957216e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.315763e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.139781, 2.166893e-02 
9.995069e-02, 3.909395e-03, 1.457968e-06, 4.461381e-05, 0, 3.852243e-03, 1.049737e-05, 5.831871e-07, 0.125158, 6.308185e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.118573, 2.221785e-02 
1.038204e-01, 3.869738e-03, 1.457968e-06, 4.461381e-05, 0, 3.812294e-03, 1.078896e-05, 5.831871e-07, 0.125158, 6.315879e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.125735, 2.472306e-02 
