TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=1.000000, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
7.104379e-03, 7.104379e-03, 3.207526e-06, 1.233440e-04, 0, 6.805788e-03, 1.204280e-04, 5.161202e-05, 1.267624e-01, 4.678925e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.090980, 3.384087e-02 
1.407258e-02, 6.968205e-03, 1.457967e-06, 8.339569e-05, 0, 6.865564e-03, 1.691241e-05, 8.747799e-07, 1.674194e-01, 1.614753e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.317449, 4.506797e-02 
2.061477e-02, 6.542187e-03, 1.457967e-06, 7.348151e-05, 0, 6.450336e-03, 1.603763e-05, 8.747799e-07, 1.250214e-01, 3.190320e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.126548, 4.106539e-02 
2.718262e-02, 6.567848e-03, 2.332746e-06, 7.348151e-05, 0, 6.474829e-03, 1.662082e-05, 5.831866e-07, 1.659698e-01, 1.648786e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.314265, 4.346057e-02 
3.376067e-02, 6.578053e-03, 1.457967e-06, 7.260673e-05, 0, 6.486785e-03, 1.662082e-05, 5.831866e-07, 1.251177e-01, 9.368670e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.112295, 4.190627e-02 
4.035156e-02, 6.590884e-03, 1.457967e-06, 7.231514e-05, 0, 6.499906e-03, 1.632923e-05, 8.747799e-07, 1.655541e-01, 1.703018e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.312890, 4.868656e-02 
4.732326e-02, 6.971704e-03, 3.207526e-06, 7.756382e-05, 0, 6.873729e-03, 1.662082e-05, 5.831866e-07, 1.257597e-01, 2.478106e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.111967, 4.044050e-02 
5.378643e-02, 6.463166e-03, 1.749560e-06, 7.114877e-05, 0, 6.373355e-03, 1.632923e-05, 5.831866e-07, 1.736686e-01, 1.704272e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.332636, 4.222365e-02 
6.065403e-02, 6.867606e-03, 1.457967e-06, 7.144036e-05, 0, 6.775462e-03, 1.837038e-05, 8.747799e-07, 1.254143e-01, 1.015653e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.122686, 4.683722e-02 
6.721051e-02, 6.556476e-03, 1.457967e-06, 6.327575e-05, 0, 6.473955e-03, 1.691241e-05, 8.747799e-07, 1.676394e-01, 1.773152e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.317797, 5.001103e-02 
7.405420e-02, 6.843695e-03, 1.457967e-06, 7.202355e-05, 0, 6.752718e-03, 1.662082e-05, 8.747799e-07, 1.264386e-01, 3.194187e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.108691, 4.158101e-02 
8.065529e-02, 6.601089e-03, 1.749560e-06, 7.144036e-05, 0, 6.510987e-03, 1.632923e-05, 5.831866e-07, 1.763995e-01, 1.747573e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.336931, 4.272869e-02 
8.714470e-02, 6.489409e-03, 1.749560e-06, 7.260673e-05, 0, 6.397266e-03, 1.691241e-05, 8.747799e-07, 1.256851e-01, 1.013200e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.123540, 4.904203e-02 
9.381373e-02, 6.669031e-03, 1.457967e-06, 8.106294e-05, 0, 6.569889e-03, 1.603763e-05, 5.831866e-07, 1.719082e-01, 1.821741e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.327902, 4.964756e-02 
1.007362e-01, 6.922425e-03, 1.457967e-06, 7.231514e-05, 0, 6.831156e-03, 1.662082e-05, 8.747799e-07, 1.265429e-01, 2.656182e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.112117, 4.401586e-02 
1.077154e-01, 6.979286e-03, 1.457967e-06, 7.114877e-05, 0, 6.889183e-03, 1.662082e-05, 8.747799e-07, 1.774195e-01, 1.794202e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.336836, 4.400594e-02 
1.141527e-01, 6.437214e-03, 1.457967e-06, 7.260673e-05, 0, 6.346237e-03, 1.632923e-05, 5.831866e-07, 1.257386e-01, 7.429927e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.121877, 5.014315e-02 
1.208068e-01, 6.654159e-03, 1.457967e-06, 7.114877e-05, 0, 6.564349e-03, 1.662082e-05, 5.831866e-07, 1.761370e-01, 1.849399e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.337987, 4.873813e-02 
1.279229e-01, 7.116043e-03, 1.457967e-06, 7.318992e-05, 0, 7.023608e-03, 1.691241e-05, 8.747799e-07, 1.263045e-01, 1.793264e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.117077, 4.659096e-02 
1.346773e-01, 6.754467e-03, 1.457967e-06, 7.260673e-05, 0, 6.663199e-03, 1.662082e-05, 5.831866e-07, 1.784375e-01, 1.833940e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.337624, 4.515068e-02 
1.410609e-01, 6.383561e-03, 1.457967e-06, 7.202355e-05, 0, 6.293458e-03, 1.603763e-05, 5.831866e-07, 1.256590e-01, 8.833149e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.121373, 5.103176e-02 
1.479708e-01, 6.909887e-03, 1.749560e-06, 7.231514e-05, 0, 6.818618e-03, 1.632923e-05, 8.747799e-07, 1.792824e-01, 1.864629e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.345512, 4.795400e-02 
1.549541e-01, 6.983368e-03, 1.457967e-06, 7.202355e-05, 0, 6.892391e-03, 1.662082e-05, 8.747799e-07, 1.259710e-01, 1.134260e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.121032, 4.863158e-02 
1.616363e-01, 6.682152e-03, 1.457967e-06, 7.289833e-05, 0, 6.590009e-03, 1.691241e-05, 8.747799e-07, 1.794369e-01, 1.862933e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.339272, 4.596341e-02 
1.685736e-01, 6.937296e-03, 1.457967e-06, 7.231514e-05, 0, 6.846319e-03, 1.662082e-05, 5.831866e-07, 1.255036e-01, 9.918936e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.121700, 5.175076e-02 
1.753278e-01, 6.754176e-03, 1.457967e-06, 7.114877e-05, 0, 6.664657e-03, 1.632923e-05, 5.831866e-07, 1.813802e-01, 1.873767e-02, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.350514, 4.742065e-02 
1.816168e-01, 6.289084e-03, 1.457967e-06, 7.173195e-05, 0, 6.198982e-03, 1.603763e-05, 8.747799e-07, 1.256690e-01, 8.041619e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.123691, 5.006729e-02 
