TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.010000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
4.831700e-04, 4.831700e-04, 5.598590e-05, 2.723481e-04, 0, 4.548854e-05, 9.739214e-05, 1.195532e-05, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.699416, 1.577611e-03, 0.284153, 0.000000 
6.467538e-04, 1.635838e-04, 4.665492e-06, 1.285926e-04, 0, 2.332746e-06, 2.682658e-05, 1.166373e-06, 0, 7.289219e-01, 1.024108e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.729128, 1.563346e-03, 0.000000, 0.000000 
8.237509e-04, 1.769971e-04, 3.207525e-06, 1.411311e-04, 0, 2.624339e-06, 2.915932e-05, 8.747797e-07, 0, 7.272869e-01, 1.021221e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.821688, 1.638943e-03, 0.000000, 0.000000 
1.084727e-03, 2.609759e-04, 7.581424e-06, 2.192781e-04, 0, 3.207525e-06, 2.974251e-05, 1.166373e-06, 0, 7.259298e-01, 1.019025e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.723439, 1.539724e-03, 0.000000, 0.000000 
1.284468e-03, 1.997414e-04, 4.373898e-06, 1.560024e-04, 0, 3.790712e-06, 3.440800e-05, 1.166373e-06, 0, 7.243287e-01, 1.016250e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.833548, 1.741784e-03, 0.000000, 0.000000 
1.460007e-03, 1.755391e-04, 3.207525e-06, 1.402563e-04, 0, 2.041153e-06, 2.653498e-05, 3.499119e-06, 0, 7.229215e-01, 1.013944e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.697600, 1.559583e-03, 0.000000, 0.000000 
1.635546e-03, 1.755391e-04, 3.499119e-06, 1.393816e-04, 0, 2.915932e-06, 2.886773e-05, 8.747797e-07, 0, 7.215967e-01, 1.011799e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.717481, 1.491196e-03, 0.000000, 0.000000 
1.842286e-03, 2.067396e-04, 2.624339e-06, 1.659165e-04, 0, 2.915932e-06, 3.440800e-05, 8.747797e-07, 0, 7.200573e-01, 1.009135e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.712967, 1.456538e-03, 0.000000, 0.000000 
2.095972e-03, 2.536861e-04, 3.499119e-06, 2.105303e-04, 0, 2.332746e-06, 3.644915e-05, 8.747797e-07, 0, 7.185661e-01, 1.006591e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.714871, 1.517811e-03, 0.000000, 0.000000 
2.243518e-03, 1.475462e-04, 2.624339e-06, 1.192616e-04, 0, 2.624339e-06, 2.245268e-05, 5.831864e-07, 0, 7.170074e-01, 1.003896e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.689347, 1.551867e-03, 0.000000, 0.000000 
2.419932e-03, 1.764139e-04, 3.207525e-06, 1.472546e-04, 0, 2.041153e-06, 2.332746e-05, 5.831864e-07, 0, 7.157186e-01, 1.001852e-03, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.704107, 1.480400e-03, 0.210383, 0.000000 
2.609468e-03, 1.895356e-04, 7.289831e-06, 1.492957e-04, 0, 2.332746e-06, 2.974251e-05, 8.747797e-07, 0, 7.142049e-01, 9.992795e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.749954, 1.547014e-03, 0.000000, 0.000000 
2.834869e-03, 2.254016e-04, 4.957085e-06, 1.851617e-04, 0, 3.207525e-06, 3.120047e-05, 8.747797e-07, 0, 7.128758e-01, 9.968844e-04, 0.000000e+00, 0.000000, 1.000000e-02, 0, 0.693031, 1.529664e-03, 0.000000, 0.000000 
