TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.001000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
3.321248e-04, 3.321248e-04, 7.756382e-05, 1.221776e-04, 0, 4.490537e-05, 8.660321e-05, 8.747799e-07, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.709172, 1.523603e-03, 0.284153, 0.000000 
5.610255e-04, 2.289007e-04, 3.207526e-06, 1.942011e-04, 0, 2.624340e-06, 2.828455e-05, 5.831866e-07, 7.301369e-01, 1.026036e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.768448, 1.616673e-03, 0.000000, 0.000000 
7.584342e-04, 1.974087e-04, 2.915933e-06, 1.647502e-04, 0, 2.041153e-06, 2.653499e-05, 1.166373e-06, 7.299923e-01, 1.025765e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.732625, 1.522820e-03, 0.000000, 0.000000 
9.488446e-04, 1.904104e-04, 2.332746e-06, 1.586268e-04, 0, 1.457967e-06, 2.711818e-05, 8.747799e-07, 7.298311e-01, 1.025481e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.719440, 1.517317e-03, 0.000000, 0.000000 
1.127883e-03, 1.790383e-04, 3.499120e-06, 1.367573e-04, 0, 2.915933e-06, 3.469960e-05, 1.166373e-06, 7.297075e-01, 1.025269e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.772464, 1.610629e-03, 0.000000, 0.000000 
1.349785e-03, 2.219025e-04, 2.624340e-06, 1.872029e-04, 0, 2.041153e-06, 2.945092e-05, 5.831866e-07, 7.295635e-01, 1.025010e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.714185, 1.505443e-03, 0.000000, 0.000000 
1.589184e-03, 2.393981e-04, 3.499120e-06, 1.977003e-04, 0, 2.624340e-06, 3.440801e-05, 1.166373e-06, 7.294406e-01, 1.024800e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.730370, 1.511952e-03, 0.000000, 0.000000 
1.802630e-03, 2.134463e-04, 2.332746e-06, 1.883693e-04, 0, 1.749560e-06, 2.070312e-05, 2.915933e-07, 7.292812e-01, 1.024526e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.707270, 1.571957e-03, 0.000000, 0.000000 
2.035904e-03, 2.332746e-04, 2.624340e-06, 1.939095e-04, 0, 2.332746e-06, 3.324164e-05, 1.166373e-06, 7.291452e-01, 1.024304e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.726143, 1.537966e-03, 0.000000, 0.000000 
2.255474e-03, 2.195698e-04, 3.499120e-06, 1.819542e-04, 0, 1.749560e-06, 3.149208e-05, 8.747799e-07, 7.289848e-01, 1.024020e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.718758, 1.507347e-03, 0.000000, 0.000000 
2.487582e-03, 2.321083e-04, 3.790713e-06, 1.918684e-04, 0, 3.207526e-06, 3.207526e-05, 1.166373e-06, 7.288606e-01, 1.023806e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.731528, 1.557706e-03, 0.284153, 0.000000 
