TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=1.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
5.828949e-04, 5.828949e-04, 6.123458e-06, 2.965503e-04, 0, 5.248678e-06, 2.743892e-04, 5.831864e-07, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.701568, 1.487658e-03, 0.133880, 0.000000 
7.628079e-04, 1.799130e-04, 3.790712e-06, 1.431723e-04, 0, 2.624339e-06, 2.915932e-05, 1.166373e-06, 0, 6.407790e-01, 8.336964e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.672011, 1.398443e-03, 0.000000, 0.000000 
9.794616e-04, 2.166538e-04, 3.499119e-06, 1.772887e-04, 0, 2.332746e-06, 3.236685e-05, 1.166373e-06, 0, 5.493351e-01, 6.785164e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.437801, 1.192068e-03, 0.000000, 0.000000 
1.145378e-03, 1.659165e-04, 3.207525e-06, 1.402563e-04, 0, 1.749559e-06, 1.982834e-05, 8.747797e-07, 0, 5.060387e-01, 5.902542e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.266608, 1.029515e-03, 0.000000, 0.000000 
1.381277e-03, 2.358989e-04, 3.790712e-06, 1.933263e-04, 0, 1.749559e-06, 3.557437e-05, 1.457966e-06, 0, 4.989779e-01, 5.470356e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.147215, 7.361999e-04, 0.000000, 0.000000 
1.584809e-03, 2.035321e-04, 2.332746e-06, 1.606679e-04, 0, 1.749559e-06, 3.732393e-05, 1.457966e-06, 0, 5.085601e-01, 5.342208e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.698760, 1.254390e-03, 0.000000, 0.000000 
1.831789e-03, 2.469795e-04, 2.915932e-06, 2.038237e-04, 0, 2.332746e-06, 3.644915e-05, 1.457966e-06, 0, 4.517190e-01, 4.559372e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.158223, 7.743889e-04, 0.000000, 0.000000 
1.974086e-03, 1.422975e-04, 3.207525e-06, 1.166373e-04, 0, 2.041153e-06, 1.982834e-05, 5.831864e-07, 0, 4.761755e-01, 5.174840e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.590381, 1.365880e-03, 0.000000, 0.000000 
2.092181e-03, 1.180953e-04, 2.624339e-06, 9.476780e-05, 0, 1.749559e-06, 1.837037e-05, 5.831864e-07, 0, 4.406828e-01, 4.577053e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.636768, 1.136006e-03, 0.000000, 0.000000 
2.231855e-03, 1.396732e-04, 2.915932e-06, 1.113886e-04, 0, 1.749559e-06, 2.274427e-05, 8.747797e-07, 0, 4.039442e-01, 2.230854e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.521073, 9.837994e-04, 0.000000, 0.000000 
2.373277e-03, 1.414227e-04, 2.332746e-06, 1.134298e-04, 0, 1.457966e-06, 2.332746e-05, 8.747797e-07, 0, 3.989297e-01, 1.699050e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.298497, 1.018682e-03, 0.306011, 0.000000 
2.555815e-03, 1.825374e-04, 3.207525e-06, 1.498789e-04, 0, 3.207525e-06, 2.536861e-05, 8.747797e-07, 0, 4.044641e-01, 2.553286e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.158653, 8.793330e-04, 0.000000, 0.000000 
2.754973e-03, 1.991582e-04, 3.207525e-06, 1.641670e-04, 0, 2.041153e-06, 2.886773e-05, 8.747797e-07, 0, 4.373749e-01, 4.574518e-04, 0.000000e+00, 0.000000, 1.000000e+00, 0, 0.657705, 1.072308e-03, 0.000000, 0.000000 
