TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=10.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
3.411642e-04, 3.411642e-04, 4.957086e-06, 2.528114e-04, 0, 5.452795e-05, 2.799296e-05, 8.747799e-07, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.761253, 1.556128e-03, 0.166667, 0.000000 
4.744223e-04, 1.332581e-04, 4.082306e-06, 1.067232e-04, 0, 2.041153e-06, 1.953675e-05, 8.747799e-07, 7.932145e-01, 2.502027e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.002318, 2.298675e-05, 0.000000, 0.000000 
6.674571e-04, 1.930348e-04, 2.915933e-06, 1.682493e-04, 0, 1.457967e-06, 1.982834e-05, 5.831866e-07, 7.977252e-01, 2.234456e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.961049, 4.297812e-04, 0.000000, 0.000000 
7.931338e-04, 1.256767e-04, 2.624340e-06, 1.003081e-04, 0, 1.457967e-06, 2.070312e-05, 5.831866e-07, 6.531233e-01, 3.727600e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.665238, 5.664613e-04, 0.000000, 0.000000 
9.430128e-04, 1.498790e-04, 2.332746e-06, 1.239272e-04, 0, 1.457967e-06, 2.157790e-05, 5.831866e-07, 5.236809e-01, 3.470501e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.249455, 4.460952e-04, 0.000000, 0.000000 
1.085602e-03, 1.425891e-04, 1.749560e-06, 1.172205e-04, 0, 1.457967e-06, 2.128631e-05, 8.747799e-07, 5.678870e-01, 3.513214e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.078574, 1.558161e-04, 0.000000, 0.000000 
1.224692e-03, 1.390900e-04, 1.749560e-06, 1.157625e-04, 0, 1.457967e-06, 1.953675e-05, 5.831866e-07, 6.014324e-01, 3.352219e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.647914, 7.864560e-04, 0.000000, 0.000000 
1.367864e-03, 1.431723e-04, 1.749560e-06, 1.183869e-04, 0, 1.457967e-06, 2.070312e-05, 8.747799e-07, 6.902970e-01, 5.742286e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.938973, 4.659235e-04, 0.000000, 0.000000 
1.509870e-03, 1.420059e-04, 1.749560e-06, 1.186785e-04, 0, 1.457967e-06, 1.953675e-05, 5.831866e-07, 4.400394e-01, 2.365178e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.192442, 6.741078e-04, 0.000000, 0.000000 
1.657708e-03, 1.478378e-04, 1.749560e-06, 1.224692e-04, 0, 1.166373e-06, 2.157790e-05, 8.747799e-07, 5.783881e-01, 3.719664e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.754749, 5.005243e-04, 0.000000, 0.000000 
