TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.001000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.452468e-04, 3.452468e-04, 4.344744e-05, 1.807880e-04, 0, 3.295007e-05, 8.747807e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.342109, 2.559237e-03 
4.624674e-04, 1.172206e-04, 2.332748e-06, 9.418472e-05, 0, 1.457968e-06, 1.866199e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.341983, 2.558703e-03 
5.709402e-04, 1.084728e-04, 1.166374e-06, 8.835285e-05, 0, 5.831871e-07, 1.778721e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.341943, 2.553770e-03 
6.799962e-04, 1.090560e-04, 8.747807e-07, 9.039400e-05, 0, 5.831871e-07, 1.662083e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.347548, 2.580281e-03 
7.875942e-04, 1.075980e-04, 1.166374e-06, 8.806126e-05, 0, 5.831871e-07, 1.720402e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.347404, 2.580962e-03 
8.957754e-04, 1.081812e-04, 8.747807e-07, 8.806126e-05, 0, 8.747807e-07, 1.778721e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.342147, 2.553625e-03 
1.001332e-03, 1.055569e-04, 8.747807e-07, 8.631169e-05, 0, 8.747807e-07, 1.691243e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.347342, 2.577605e-03 
1.106889e-03, 1.055569e-04, 8.747807e-07, 8.602010e-05, 0, 8.747807e-07, 1.720402e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.348148, 2.602560e-03 
1.212154e-03, 1.052653e-04, 8.747807e-07, 8.660329e-05, 0, 5.831871e-07, 1.662083e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.341939, 2.553482e-03 
1.321502e-03, 1.093476e-04, 1.166374e-06, 9.126878e-05, 0, 8.747807e-07, 1.545446e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.347317, 2.580910e-03 
1.418311e-03, 9.680906e-05, 8.747807e-07, 7.960504e-05, 0, 5.831871e-07, 1.545446e-05, 2.915936e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.347094, 2.571471e-03 
1.515412e-03, 9.710066e-05, 8.747807e-07, 7.989664e-05, 0, 5.831871e-07, 1.516287e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.346975, 2.578340e-03 
1.611929e-03, 9.651747e-05, 8.747807e-07, 7.931345e-05, 0, 5.831871e-07, 1.516287e-05, 5.831871e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.348298, 2.598725e-03 
1.708447e-03, 9.651747e-05, 8.747807e-07, 7.931345e-05, 0, 8.747807e-07, 1.516287e-05, 2.915936e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.346864, 2.576020e-03 
1.803798e-03, 9.535109e-05, 8.747807e-07, 7.873026e-05, 0, 5.831871e-07, 1.487127e-05, 2.915936e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.348128, 2.602622e-03 
1.953677e-03, 1.498791e-04, 8.747807e-07, 1.318003e-04, 0, 8.747807e-07, 1.603765e-05, 2.915936e-07, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.342159, 2.556052e-03 
