TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.000100, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
3.405813e-04, 3.405813e-04, 4.315585e-05, 1.886610e-04, 0, 3.440804e-05, 6.473377e-05, 9.622588e-06, 0.345745, 4.973862e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347292, 2.578297e-03 
4.519700e-04, 1.113887e-04, 2.041155e-06, 9.301835e-05, 0, 1.166374e-06, 1.457968e-05, 5.831871e-07, 0.345744, 4.973736e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342137, 2.559178e-03 
5.546110e-04, 1.026409e-04, 1.166374e-06, 8.631169e-05, 0, 8.747807e-07, 1.399649e-05, 2.915936e-07, 0.345744, 4.973667e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347768, 2.602710e-03 
6.762055e-04, 1.215945e-04, 2.332748e-06, 1.040989e-04, 0, 5.831871e-07, 1.428808e-05, 2.915936e-07, 0.345743, 4.973533e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347412, 2.605878e-03 
8.170452e-04, 1.408397e-04, 2.915936e-06, 1.148879e-04, 0, 1.457968e-06, 2.070314e-05, 8.747807e-07, 0.345743, 4.973398e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.347831, 2.605402e-03 
9.578849e-04, 1.408397e-04, 2.041155e-06, 1.189702e-04, 0, 1.166374e-06, 1.807880e-05, 5.831871e-07, 0.345742, 4.973263e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342351, 2.553629e-03 
1.087352e-03, 1.294675e-04, 1.749561e-06, 1.096392e-04, 0, 8.747807e-07, 1.662083e-05, 5.831871e-07, 0.345742, 4.973195e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342119, 2.558985e-03 
1.214779e-03, 1.274264e-04, 1.457968e-06, 1.081812e-04, 0, 8.747807e-07, 1.632924e-05, 5.831871e-07, 0.345741, 4.973126e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342241, 2.554574e-03 
1.343955e-03, 1.291759e-04, 1.166374e-06, 1.099308e-04, 0, 8.747807e-07, 1.662083e-05, 5.831871e-07, 0.345741, 4.973058e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.341904, 2.556243e-03 
1.448928e-03, 1.049737e-04, 1.457968e-06, 8.835285e-05, 0, 8.747807e-07, 1.370490e-05, 5.831871e-07, 0.345740, 4.972989e-04, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.342020, 2.557732e-03 
