TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=10.000000, lambda=0.000000, n=83, n0=4, n1=10, n2=3, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=150, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.058649e-04, 2.058649e-04, 4.665493e-06, 1.740812e-04, 0, 3.207526e-06, 2.332746e-05, 5.831866e-07, 3.502332e-01, 6.403245e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.342980, 2.656623e-03 
3.175451e-04, 1.116802e-04, 2.332746e-06, 9.156030e-05, 0, 1.457967e-06, 1.545445e-05, 8.747799e-07, 6.537177e-01, 2.688717e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.000196, 6.982967e-06 
4.198944e-04, 1.023493e-04, 1.166373e-06, 8.514525e-05, 0, 8.747799e-07, 1.457967e-05, 5.831866e-07, 6.540828e-01, 2.611357e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.984137, 3.329915e-04 
5.172865e-04, 9.739216e-05, 2.332746e-06, 8.164613e-05, 0, 5.831866e-07, 1.253851e-05, 2.915933e-07, 6.168095e-01, 9.351250e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.001582, 5.235601e-05 
6.149703e-04, 9.768376e-05, 2.041153e-06, 8.135453e-05, 0, 8.747799e-07, 1.283011e-05, 5.831866e-07, 6.256829e-01, 7.882712e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.933105, 1.435838e-03 
7.199439e-04, 1.049736e-04, 2.624340e-06, 8.660321e-05, 0, 8.747799e-07, 1.428807e-05, 5.831866e-07, 4.461482e-01, 7.906502e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.706016, 1.667682e-03 
8.666153e-04, 1.466714e-04, 3.499120e-06, 1.213028e-04, 0, 1.457967e-06, 1.982834e-05, 5.831866e-07, 3.704161e-01, 5.805872e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.422918, 2.154165e-03 
9.634243e-04, 9.680898e-05, 1.457967e-06, 8.047975e-05, 0, 8.747799e-07, 1.341329e-05, 5.831866e-07, 4.359319e-01, 6.192293e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.640506, 1.270201e-03 
1.059067e-03, 9.564260e-05, 1.457967e-06, 8.018816e-05, 0, 8.747799e-07, 1.253851e-05, 5.831866e-07, 3.437817e-01, 2.594895e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.275433, 1.171549e-03 
1.188243e-03, 1.291758e-04, 1.749560e-06, 1.110970e-04, 0, 1.166373e-06, 1.457967e-05, 5.831866e-07, 4.347680e-01, 5.917543e-04, 0.000000e+00, 0.000000, 1.000000e+01, 0, 0.572587, 1.401994e-03 
