TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=0.000100, lambda=0.000000, n=9, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
1.957174e-03, 1.957174e-03, 5.718145e-04, 6.493783e-04, 0, 2.749725e-04, 2.624340e-04, 1.985750e-04, 1.267624e-01, 4.678925e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155711, 4.328008e-02 
2.039112e-03, 8.193772e-05, 1.749560e-06, 6.356734e-05, 0, 1.166373e-06, 1.487126e-05, 5.831866e-07, 1.267621e-01, 4.678525e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157902, 4.385066e-02 
2.107345e-03, 6.823283e-05, 8.747799e-07, 5.277839e-05, 0, 5.831866e-07, 1.370489e-05, 2.915933e-07, 1.267618e-01, 4.678119e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102458, 3.469576e-02 
2.180826e-03, 7.348151e-05, 1.749560e-06, 5.656910e-05, 0, 5.831866e-07, 1.399648e-05, 5.831866e-07, 1.267620e-01, 4.678439e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090983, 3.384154e-02 
2.253433e-03, 7.260673e-05, 1.166373e-06, 5.598591e-05, 0, 8.747799e-07, 1.399648e-05, 5.831866e-07, 1.267623e-01, 4.678751e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155710, 4.327995e-02 
2.325165e-03, 7.173195e-05, 1.166373e-06, 5.569432e-05, 0, 8.747799e-07, 1.370489e-05, 2.915933e-07, 1.267620e-01, 4.678351e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157901, 4.385054e-02 
2.398355e-03, 7.318992e-05, 8.747799e-07, 5.744388e-05, 0, 5.831866e-07, 1.399648e-05, 2.915933e-07, 1.267616e-01, 4.677945e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102459, 3.469597e-02 
2.474461e-03, 7.610585e-05, 8.747799e-07, 6.123459e-05, 0, 5.831866e-07, 1.283011e-05, 5.831866e-07, 1.267619e-01, 4.678265e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090984, 3.384178e-02 
2.539486e-03, 6.502531e-05, 8.747799e-07, 5.044564e-05, 0, 5.831866e-07, 1.253851e-05, 5.831866e-07, 1.267621e-01, 4.678577e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155709, 4.327982e-02 
2.605678e-03, 6.619168e-05, 1.166373e-06, 5.132042e-05, 0, 5.831866e-07, 1.253851e-05, 5.831866e-07, 1.267618e-01, 4.678177e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157900, 4.385041e-02 
2.670412e-03, 6.473371e-05, 5.831866e-07, 5.044564e-05, 0, 5.831866e-07, 1.253851e-05, 5.831866e-07, 1.267615e-01, 4.677771e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102460, 3.469618e-02 
2.734854e-03, 6.444212e-05, 8.747799e-07, 5.073724e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267617e-01, 4.678091e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090985, 3.384202e-02 
2.798421e-03, 6.356734e-05, 8.747799e-07, 4.986246e-05, 0, 5.831866e-07, 1.166373e-05, 5.831866e-07, 1.267620e-01, 4.678403e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155707, 4.327969e-02 
2.862280e-03, 6.385893e-05, 8.747799e-07, 5.015405e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267617e-01, 4.678003e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157899, 4.385029e-02 
2.926430e-03, 6.415053e-05, 8.747799e-07, 5.044564e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267613e-01, 4.677597e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102461, 3.469639e-02 
2.989998e-03, 6.356734e-05, 1.166373e-06, 4.957086e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267616e-01, 4.677917e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090986, 3.384225e-02 
3.076309e-03, 8.631162e-05, 8.747799e-07, 6.065141e-05, 0, 5.831866e-07, 2.391065e-05, 2.915933e-07, 1.267619e-01, 4.678230e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155706, 4.327956e-02 
3.146292e-03, 6.998239e-05, 8.747799e-07, 5.481954e-05, 0, 8.747799e-07, 1.283011e-05, 5.831866e-07, 1.267615e-01, 4.677829e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157897, 4.385017e-02 
3.214525e-03, 6.823283e-05, 8.747799e-07, 5.306998e-05, 0, 8.747799e-07, 1.283011e-05, 5.831866e-07, 1.267612e-01, 4.677424e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102462, 3.469660e-02 
3.282757e-03, 6.823283e-05, 1.166373e-06, 5.306998e-05, 0, 5.831866e-07, 1.283011e-05, 5.831866e-07, 1.267615e-01, 4.677743e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090987, 3.384249e-02 
3.351573e-03, 6.881602e-05, 8.747799e-07, 5.423636e-05, 0, 5.831866e-07, 1.283011e-05, 2.915933e-07, 1.267617e-01, 4.678056e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155705, 4.327943e-02 
3.416016e-03, 6.444212e-05, 8.747799e-07, 5.073724e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267614e-01, 4.677655e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157896, 4.385004e-02 
3.479875e-03, 6.385893e-05, 8.747799e-07, 5.015405e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267611e-01, 4.677250e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102463, 3.469681e-02 
3.543150e-03, 6.327575e-05, 8.747799e-07, 4.957086e-05, 0, 5.831866e-07, 1.166373e-05, 5.831866e-07, 1.267613e-01, 4.677569e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090988, 3.384273e-02 
3.609634e-03, 6.648327e-05, 1.166373e-06, 5.248680e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267616e-01, 4.677882e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155703, 4.327930e-02 
3.672909e-03, 6.327575e-05, 8.747799e-07, 4.957086e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267613e-01, 4.677481e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157895, 4.384992e-02 
3.736768e-03, 6.385893e-05, 8.747799e-07, 5.015405e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267609e-01, 4.677076e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102464, 3.469702e-02 
3.800336e-03, 6.356734e-05, 1.166373e-06, 4.927927e-05, 0, 5.831866e-07, 1.195533e-05, 5.831866e-07, 1.267612e-01, 4.677395e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090989, 3.384297e-02 
3.863611e-03, 6.327575e-05, 8.747799e-07, 4.986246e-05, 0, 5.831866e-07, 1.166373e-05, 2.915933e-07, 1.267614e-01, 4.677708e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155702, 4.327917e-02 
3.926595e-03, 6.298415e-05, 8.747799e-07, 4.927927e-05, 0, 5.831866e-07, 1.166373e-05, 5.831866e-07, 1.267611e-01, 4.677307e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157893, 4.384980e-02 
3.989871e-03, 6.327575e-05, 8.747799e-07, 4.986246e-05, 0, 5.831866e-07, 1.166373e-05, 2.915933e-07, 1.267608e-01, 4.676902e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102465, 3.469723e-02 
4.053730e-03, 6.385893e-05, 8.747799e-07, 4.986246e-05, 0, 8.747799e-07, 1.166373e-05, 5.831866e-07, 1.267610e-01, 4.677221e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090990, 3.384320e-02 
4.123713e-03, 6.998239e-05, 8.747799e-07, 5.627751e-05, 0, 5.831866e-07, 1.166373e-05, 5.831866e-07, 1.267613e-01, 4.677534e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155701, 4.327904e-02 
4.186988e-03, 6.327575e-05, 8.747799e-07, 4.957086e-05, 0, 5.831866e-07, 1.166373e-05, 5.831866e-07, 1.267610e-01, 4.677133e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157892, 4.384967e-02 
4.251139e-03, 6.415053e-05, 8.747799e-07, 5.015405e-05, 0, 5.831866e-07, 1.195533e-05, 5.831866e-07, 1.267606e-01, 4.676728e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102466, 3.469744e-02 
4.314998e-03, 6.385893e-05, 8.747799e-07, 4.986246e-05, 0, 5.831866e-07, 1.195533e-05, 5.831866e-07, 1.267609e-01, 4.677048e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090991, 3.384344e-02 
4.380606e-03, 6.560849e-05, 8.747799e-07, 4.927927e-05, 0, 5.831866e-07, 1.428807e-05, 5.831866e-07, 1.267612e-01, 4.677360e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155700, 4.327891e-02 
4.444174e-03, 6.356734e-05, 8.747799e-07, 4.957086e-05, 0, 8.747799e-07, 1.166373e-05, 5.831866e-07, 1.267608e-01, 4.676960e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157891, 4.384955e-02 
4.507158e-03, 6.298415e-05, 8.747799e-07, 4.927927e-05, 0, 5.831866e-07, 1.166373e-05, 5.831866e-07, 1.267605e-01, 4.676554e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.102467, 3.469765e-02 
4.570142e-03, 6.298415e-05, 8.747799e-07, 4.927927e-05, 0, 5.831866e-07, 1.195533e-05, 2.915933e-07, 1.267608e-01, 4.676874e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.090992, 3.384368e-02 
4.632834e-03, 6.269256e-05, 8.747799e-07, 4.927927e-05, 0, 5.831866e-07, 1.166373e-05, 2.915933e-07, 1.267610e-01, 4.677186e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.155698, 4.327878e-02 
4.696693e-03, 6.385893e-05, 1.166373e-06, 5.015405e-05, 0, 5.831866e-07, 1.166373e-05, 2.915933e-07, 1.267607e-01, 4.676786e-03, 0.000000e+00, 0.000000, 1.000000e-04, 0, 0.157889, 4.384943e-02 
