TRM WS=0, MS=1, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=0, lr=100.000000, lambda=0.000000, n=6, n0=2, n1=2, n2=1, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=4, nobias=1 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag 
2.478545e-04, 2.478545e-04, 4.898772e-05, 9.739225e-05, 0, 3.207529e-05, 6.881608e-05, 5.831871e-07, 0.125158, 6.307512e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.139772, 2.166828e-02 
3.032573e-04, 5.540278e-05, 1.457968e-06, 4.111469e-05, 0, 1.166374e-06, 1.137215e-05, 2.915936e-07, 0.247824, 6.795536e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.000002, 2.087191e-06 
3.534114e-04, 5.015409e-05, 8.747807e-07, 3.849035e-05, 0, 5.831871e-07, 9.914181e-06, 2.915936e-07, 0.247826, 6.789172e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.496973, 5.326679e-04 
4.044403e-04, 5.102887e-05, 1.457968e-06, 3.878194e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.247497, 7.641177e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.493459, 2.799038e-03 
4.545944e-04, 5.015409e-05, 1.166374e-06, 3.819876e-05, 0, 5.831871e-07, 9.914181e-06, 2.915936e-07, 0.237802, 4.822870e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.000514, 3.534102e-04 
5.056232e-04, 5.102887e-05, 8.747807e-07, 3.849035e-05, 0, 5.831871e-07, 1.049737e-05, 5.831871e-07, 0.239653, 4.106853e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.000062, 5.946268e-05 
5.551941e-04, 4.957091e-05, 8.747807e-07, 3.819876e-05, 0, 5.831871e-07, 9.622588e-06, 2.915936e-07, 0.239897, 4.010365e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.495459, 7.972815e-04 
6.053482e-04, 5.015409e-05, 8.747807e-07, 3.849035e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.238322, 4.373095e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.458413, 1.749610e-02 
6.549191e-04, 4.957091e-05, 8.747807e-07, 3.790716e-05, 0, 8.747807e-07, 9.330994e-06, 5.831871e-07, 0.189336, 2.720098e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.101099, 4.561131e-03 
7.044900e-04, 4.957091e-05, 8.747807e-07, 3.849035e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.179185, 1.988087e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.043840, 1.127992e-02 
7.543525e-04, 4.986250e-05, 8.747807e-07, 3.790716e-05, 0, 8.747807e-07, 9.622588e-06, 5.831871e-07, 0.253893, 2.025978e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.490640, 1.631312e-03 
8.033403e-04, 4.898772e-05, 8.747807e-07, 3.761557e-05, 0, 5.831871e-07, 9.622588e-06, 2.915936e-07, 0.252748, 2.050067e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.487494, 5.847484e-03 
8.526196e-04, 4.927931e-05, 8.747807e-07, 3.790716e-05, 0, 5.831871e-07, 9.622588e-06, 2.915936e-07, 0.193452, 5.727925e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.095903, 5.288197e-03 
9.024821e-04, 4.986250e-05, 8.747807e-07, 3.819876e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.234009, 6.701840e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.000092, 5.835999e-05 
9.511782e-04, 4.869612e-05, 8.747807e-07, 3.761557e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.234516, 6.543855e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.483884, 2.779672e-03 
1.000166e-03, 4.898772e-05, 8.747807e-07, 3.761557e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.225765, 7.596348e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.406041, 3.535784e-02 
1.049445e-03, 4.927931e-05, 1.166374e-06, 3.790716e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.173661, 5.146773e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.114265, 2.893909e-03 
1.141880e-03, 9.243516e-05, 8.747807e-07, 4.519700e-05, 0, 8.747807e-07, 4.403063e-05, 1.457968e-06, 0.176239, 4.406796e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.121678, 8.790237e-04 
1.216820e-03, 7.493955e-05, 2.041155e-06, 5.890190e-05, 0, 1.166374e-06, 1.224693e-05, 5.831871e-07, 0.177296, 4.255723e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.373709, 1.789870e-02 
1.267849e-03, 5.102887e-05, 1.457968e-06, 3.849035e-05, 0, 5.831871e-07, 9.914181e-06, 5.831871e-07, 0.105591, 2.671433e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.124297, 2.569254e-04 
1.317711e-03, 4.986250e-05, 8.747807e-07, 3.849035e-05, 0, 5.831871e-07, 9.622588e-06, 2.915936e-07, 0.106493, 2.858858e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.170560, 1.144784e-02 
1.366699e-03, 4.898772e-05, 8.747807e-07, 3.790716e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.095256, 2.712444e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.126596, 6.380305e-04 
1.415104e-03, 4.840453e-05, 8.747807e-07, 3.732398e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.095318, 3.301991e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.005099, 1.620671e-03 
1.463800e-03, 4.869612e-05, 8.747807e-07, 3.732398e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.094834, 1.672223e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.124996, 1.775282e-06 
1.513079e-03, 4.927931e-05, 8.747807e-07, 3.819876e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.094835, 1.672458e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.125289, 1.003540e-04 
1.566732e-03, 5.365322e-05, 1.166374e-06, 3.732398e-05, 0, 8.747807e-07, 1.370490e-05, 5.831871e-07, 0.094833, 1.677207e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.126803, 6.153305e-04 
1.616012e-03, 4.927931e-05, 8.747807e-07, 3.819876e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.094791, 1.751838e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.002676, 8.767459e-04 
1.665291e-03, 4.927931e-05, 8.747807e-07, 3.790716e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.094656, 1.381067e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.124997, 1.500407e-06 
1.715153e-03, 4.986250e-05, 8.747807e-07, 3.819876e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.094657, 1.381379e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.125293, 9.958615e-05 
1.763849e-03, 4.869612e-05, 8.747807e-07, 3.761557e-05, 0, 8.747807e-07, 9.039400e-06, 2.915936e-07, 0.094653, 1.378053e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.126611, 5.325977e-04 
1.816919e-03, 5.307003e-05, 8.747807e-07, 4.140629e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.094609, 1.357902e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.001998, 6.617965e-04 
1.865616e-03, 4.869612e-05, 8.747807e-07, 3.732398e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.094536, 1.187303e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.124997, 1.264211e-06 
1.915187e-03, 4.957091e-05, 8.747807e-07, 3.790716e-05, 0, 8.747807e-07, 9.330994e-06, 5.831871e-07, 0.094536, 1.187565e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.125288, 9.718843e-05 
1.964757e-03, 4.957091e-05, 8.747807e-07, 3.790716e-05, 0, 8.747807e-07, 9.330994e-06, 5.831871e-07, 0.094533, 1.182565e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.126420, 4.621340e-04 
2.013454e-03, 4.869612e-05, 8.747807e-07, 3.732398e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.094495, 1.143424e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.001635, 5.450867e-04 
2.063024e-03, 4.957091e-05, 8.747807e-07, 3.790716e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.094447, 1.043906e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.124998, 1.078037e-06 
2.112012e-03, 4.898772e-05, 8.747807e-07, 3.732398e-05, 0, 5.831871e-07, 9.622588e-06, 5.831871e-07, 0.094448, 1.044114e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.125279, 9.435969e-05 
2.161291e-03, 4.927931e-05, 8.747807e-07, 3.790716e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.094444, 1.038955e-04, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.126262, 4.062480e-04 
2.209696e-03, 4.840453e-05, 8.747807e-07, 3.732398e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.094413, 9.991420e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.001401, 4.690235e-04 
2.258101e-03, 4.840453e-05, 8.747807e-07, 3.732398e-05, 0, 5.831871e-07, 9.039400e-06, 5.831871e-07, 0.094379, 9.329582e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.124998, 9.316194e-07 
2.306505e-03, 4.840453e-05, 8.747807e-07, 3.761557e-05, 0, 5.831871e-07, 9.039400e-06, 2.915936e-07, 0.094379, 9.331226e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.125270, 9.146226e-05 
2.355201e-03, 4.869612e-05, 8.747807e-07, 3.790716e-05, 0, 5.831871e-07, 9.039400e-06, 2.915936e-07, 0.094376, 9.282208e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.126133, 3.618478e-04 
2.405064e-03, 4.986250e-05, 8.747807e-07, 3.819876e-05, 0, 8.747807e-07, 9.330994e-06, 5.831871e-07, 0.094350, 8.922727e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.001234, 4.145232e-04 
2.454051e-03, 4.898772e-05, 8.747807e-07, 3.790716e-05, 0, 5.831871e-07, 9.330994e-06, 2.915936e-07, 0.094324, 8.444794e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.124998, 8.149125e-07 
2.504206e-03, 5.015409e-05, 1.166374e-06, 3.849035e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.094324, 8.446108e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.125261, 8.862816e-05 
2.553776e-03, 4.957091e-05, 8.747807e-07, 3.819876e-05, 0, 5.831871e-07, 9.330994e-06, 5.831871e-07, 0.094321, 8.400705e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.126028, 3.260395e-04 
2.601598e-03, 4.782134e-05, 8.747807e-07, 3.703238e-05, 0, 5.831871e-07, 9.039400e-06, 2.915936e-07, 0.094300, 8.087288e-05, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.001107, 3.731109e-04 
