TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=5, lr=0.001000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
5.898931e-04, 5.898931e-04, 1.411311e-04, 2.084892e-04, 0, 5.831864e-06, 2.323998e-04, 2.041153e-06, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.766425, 1.166861e-03, 0.284153, 0.000000 
8.109207e-04, 2.210277e-04, 1.428807e-05, 1.656249e-04, 0, 8.747797e-06, 3.149207e-05, 8.747797e-07, 0, 7.301156e-01, 1.025993e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.731500, 1.142919e-03, 0.000000, 0.000000 
1.108637e-03, 2.977167e-04, 2.507702e-05, 2.309418e-04, 0, 2.332746e-06, 3.790712e-05, 1.457966e-06, 0, 7.299733e-01, 1.025745e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.733664, 1.335537e-03, 0.000000, 0.000000 
1.412478e-03, 3.038401e-04, 3.120047e-05, 2.350241e-04, 0, 2.624339e-06, 3.324163e-05, 1.749559e-06, 0, 7.298177e-01, 1.025474e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.745276, 1.372222e-03, 0.000000, 0.000000 
1.748976e-03, 3.364986e-04, 3.295003e-05, 2.586432e-04, 0, 3.207525e-06, 4.023986e-05, 1.457966e-06, 0, 7.296618e-01, 1.025205e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.720484, 1.132751e-03, 0.000000, 0.000000 
2.077893e-03, 3.289172e-04, 2.886773e-05, 2.557273e-04, 0, 3.499119e-06, 3.907349e-05, 1.749559e-06, 0, 7.295232e-01, 1.024965e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.712577, 1.125592e-03, 0.000000, 0.000000 
2.333329e-03, 2.554357e-04, 3.032570e-05, 1.974086e-04, 0, 2.041153e-06, 2.507702e-05, 5.831864e-07, 0, 7.293824e-01, 1.024725e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.750663, 1.130457e-03, 0.000000, 0.000000 
2.654373e-03, 3.210441e-04, 2.915932e-05, 2.341494e-04, 0, 3.207525e-06, 5.306997e-05, 1.457966e-06, 0, 7.292379e-01, 1.024474e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.748079, 1.071310e-03, 0.000000, 0.000000 
2.974834e-03, 3.204610e-04, 2.828454e-05, 2.484374e-04, 0, 2.915932e-06, 3.907349e-05, 1.749559e-06, 0, 7.290976e-01, 1.024236e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.717120, 1.076550e-03, 0.000000, 0.000000 
3.315415e-03, 3.405809e-04, 2.799295e-05, 2.665162e-04, 0, 3.499119e-06, 4.140624e-05, 1.166373e-06, 0, 7.289661e-01, 1.024015e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.729217, 1.185391e-03, 0.000000, 0.000000 
3.648998e-03, 3.335826e-04, 2.449383e-05, 2.691405e-04, 0, 2.332746e-06, 3.644915e-05, 1.166373e-06, 0, 7.288184e-01, 1.023757e-03, 0.000000e+00, 0.000000, 1.000000e-03, 0, 0.740133, 1.151333e-03, 0.284153, 0.000000 
