TRM WS=0, MS=2, TRMstep=0: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=0,b_m=5, lr=100.000000, lambda=1.000000e-10, n=406, n0=33, n1=10, n2=6, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=366 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
3.659495e-04, 3.659495e-04, 1.078895e-04, 1.542528e-04, 0, 7.406468e-05, 2.886773e-05, 8.747797e-07, 0, 7.302594e-01, 1.026246e-03, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.721048, 1.076027e-03, 0.196721, 0.000000 
5.954334e-04, 2.294839e-04, 1.487125e-05, 1.796214e-04, 0, 2.915932e-06, 3.120047e-05, 8.747797e-07, 0, 4.999575e-01, 3.427615e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.499956, 3.791204e-07, 0.000000, 0.000000 
7.770959e-04, 1.816626e-04, 2.099471e-05, 1.323833e-04, 0, 2.915932e-06, 2.420224e-05, 1.166373e-06, 0, 4.999558e-01, 3.639812e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.499909, 7.701830e-07, 0.000000, 0.000000 
9.567174e-04, 1.796214e-04, 1.895356e-05, 1.315085e-04, 0, 2.915932e-06, 2.536861e-05, 8.747797e-07, 0, 4.999518e-01, 4.135169e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.499851, 1.322905e-06, 0.000000, 0.000000 
1.227607e-03, 2.708901e-04, 2.682658e-05, 2.038237e-04, 0, 3.499119e-06, 3.557437e-05, 1.166373e-06, 0, 4.999437e-01, 5.221999e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.499935, 7.067352e-07, 0.000000, 0.000000 
1.422392e-03, 1.947843e-04, 2.216108e-05, 1.379236e-04, 0, 2.915932e-06, 3.061729e-05, 1.166373e-06, 0, 4.999386e-01, 5.961232e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.499941, 5.737394e-07, 0.000000, 0.000000 
1.749851e-03, 3.274592e-04, 3.644915e-05, 2.426056e-04, 0, 4.665492e-06, 4.198942e-05, 1.749559e-06, 0, 4.999341e-01, 6.582632e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.500000, 1.476722e-10, 0.000000, 0.000000 
1.963880e-03, 2.140294e-04, 2.332746e-05, 1.580435e-04, 0, 2.624339e-06, 2.886773e-05, 1.166373e-06, 0, 4.999341e-01, 6.582562e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.500000, 1.532344e-10, 0.000000, 0.000000 
2.187532e-03, 2.236520e-04, 2.216108e-05, 1.685409e-04, 0, 2.624339e-06, 2.945092e-05, 8.747797e-07, 0, 4.999341e-01, 6.582476e-07, 0.000000e+00, 0.000000, 1.000000e+02, 0, 0.499863, 1.407831e-06, 0.000000, 0.000000 
