TRM WS=0, MS=0, TRMstep=1: ub=0.800000, lb=0.200000, grow=2.000000,shrink=0.500000, b_w=40,b_m=1000, lr=1.000000, lambda=1.000000e-10, n=1120, n0=100, n1=10, n2=10, sub_tol=0.001000, sub_maxit=1000, tol=1.000000e-08, m=60000 , altern=0 
time, iter_t, subset_m_time, g_time, subset_w_time, p1_time, t2, t3, H_time, total error, total gmag, rho, sigma, gamma, step, approx error, approx gmag, train accuracy, test accuracy 
1.501641e+01, 1.501641e+01, 0, 1.734657e-01, 0, 1.348515e+01, 1.312727e+00, 4.506283e-02, 0, 1.319555e+00, 1.012330e-05, 9.343471e-01, -0.541192, 2.000000e+00, 1, 1.319555, 1.012330e-05, 0.099300, 0.000000 
3.726035e+01, 2.224394e+01, 0, 1.862523e-01, 0, 2.005241e+01, 1.955739e+00, 4.953791e-02, 0, 8.138936e-01, 6.968522e-06, 6.329735e-01, -0.545424, 2.000000e+00, 1, 0.813894, 6.968522e-06, 0.000000, 0.000000 
1.038623e+02, 6.660199e+01, 0, 1.972034e-01, 0, 6.391239e+01, 2.438190e+00, 5.421215e-02, 0, 4.686548e-01, 1.170251e-06, 1.159842e+00, -0.014384, 2.000000e+00, 0, 0.468655, 1.170251e-06, 0.000000, 0.000000 
1.779321e+02, 7.406973e+01, 0, 2.165579e-01, 0, 7.131331e+01, 2.489253e+00, 5.060427e-02, 0, 4.519712e-01, 2.767212e-07, 9.471484e-01, -0.012088, 4.000000e+00, 1, 0.451971, 2.767212e-07, 0.000000, 0.000000 
2.002839e+02, 2.235182e+01, 0, 2.041704e-01, 0, 2.070286e+01, 1.394288e+00, 5.049988e-02, 0, 4.405223e-01, 2.907136e-07, -2.309106e-01, -0.103371, 2.000000e+00, 1, 0.440522, 2.907136e-07, 0.000000, 0.000000 
2.158999e+02, 1.561598e+01, 0, 0, 0, 1.410830e+01, 1.457204e+00, 5.047480e-02, 0, 4.405223e-01, 2.907136e-07, 3.983970e-01, -0.038314, 2.000000e+00, 1, 0.440522, 2.907136e-07, 0.000000, 0.000000 
2.387831e+02, 2.288327e+01, 0, 1.968112e-01, 0, 1.991995e+01, 2.716890e+00, 4.961256e-02, 0, 4.252581e-01, 1.136449e-06, 1.438648e-01, -0.045230, 1.000000e+00, 1, 0.425258, 1.136449e-06, 0.000000, 0.000000 
2.624453e+02, 2.366213e+01, 0, 0, 0, 2.087043e+01, 2.736569e+00, 5.513242e-02, 0, 4.252581e-01, 1.136449e-06, 6.759790e-01, -0.017912, 1.000000e+00, 1, 0.425258, 1.136449e-06, 0.000000, 0.000000 
2.941069e+02, 3.166165e+01, 0, 2.302502e-01, 0, 2.900592e+01, 2.375281e+00, 5.019779e-02, 0, 4.131500e-01, 3.584913e-07, 9.832318e-01, -0.012581, 2.000000e+00, 1, 0.413150, 3.584913e-07, 0.000000, 0.000000 
3.356584e+02, 4.155151e+01, 0, 2.014831e-01, 0, 3.916764e+01, 2.130249e+00, 5.213251e-02, 0, 4.007802e-01, 2.117661e-07, 8.910329e-01, -0.023883, 4.000000e+00, 1, 0.400780, 2.117661e-07, 0.000000, 0.000000 
0.321617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ,0
